Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIOM01000001.1	1	206		plus	hypothetical protein			protein-coding			WP_100780907.1	hypothetical protein	67	CWM63_RS00005
NZ_PIOM01000001.1	207	1259		plus	electron transport complex subunit RsxD	rsxD		protein-coding			WP_012968049.1	electron transport complex subunit RsxD	350	CWM63_RS00010
NZ_PIOM01000001.1	1270	1890		plus	electron transport complex subunit RsxG	rsxG		protein-coding			WP_032691405.1	electron transport complex subunit RsxG	206	CWM63_RS00015
NZ_PIOM01000001.1	1893	2591		plus	electron transport complex subunit E			protein-coding			WP_008804642.1	electron transport complex subunit E	232	CWM63_RS00020
NZ_PIOM01000001.1	2593	3228		plus	endonuclease III	nth		protein-coding			WP_008804641.1	endonuclease III	211	CWM63_RS00025
NZ_PIOM01000001.1	3830	5335		plus	dipeptide/tripeptide permease DtpA	dtpA		protein-coding			WP_008804640.1	dipeptide/tripeptide permease DtpA	501	CWM63_RS00035
NZ_PIOM01000001.1	5446	6051		plus	glutathione transferase GstA	gstA		protein-coding			WP_008804639.1	glutathione transferase GstA	201	CWM63_RS00040
NZ_PIOM01000001.1	6094	6954		minus	pyridoxal kinase PdxY	pdxY		protein-coding			WP_008804638.1	pyridoxal kinase PdxY	286	CWM63_RS00045
NZ_PIOM01000001.1	7015	8289		minus	tyrosine--tRNA ligase	tyrS		protein-coding			WP_012968045.1	tyrosine--tRNA ligase	424	CWM63_RS00050
NZ_PIOM01000001.1	8414	9070		minus	pyridoxamine 5'-phosphate oxidase	pdxH		protein-coding			WP_032731006.1	pyridoxamine 5'-phosphate oxidase	218	CWM63_RS00055
NZ_PIOM01000001.1	9128	9451		minus	C-type lysozyme inhibitor	mliC		protein-coding			WP_032691200.1	C-type lysozyme inhibitor	107	CWM63_RS00060
NZ_PIOM01000001.1	9544	10668		minus	anhydro-N-acetylmuramic acid kinase	anmK		protein-coding			WP_008804634.1	anhydro-N-acetylmuramic acid kinase	374	CWM63_RS00065
NZ_PIOM01000001.1	10937	11404		plus	outer membrane lipoprotein SlyB	slyB		protein-coding			WP_008804633.1	outer membrane lipoprotein SlyB	155	CWM63_RS00070
NZ_PIOM01000001.1	11625	12986		plus	GGDEF domain-containing protein			protein-coding			WP_100780909.1	GGDEF domain-containing protein	453	CWM63_RS00075
NZ_PIOM01000001.1	13022	13462		minus	transcriptional regulator SlyA	slyA		protein-coding			WP_008804631.1	transcriptional regulator SlyA	146	CWM63_RS00080
NZ_PIOM01000001.1	13635	13871		plus	DUF1656 domain-containing protein			protein-coding			WP_004143834.1	DUF1656 domain-containing protein	78	CWM63_RS00085
NZ_PIOM01000001.1	13882	14778		plus	HlyD family secretion protein			protein-coding			WP_100780910.1	HlyD family secretion protein	298	CWM63_RS00090
NZ_PIOM01000001.1	14778	16802		plus	FUSC family protein			protein-coding			WP_100780911.1	FUSC family protein	674	CWM63_RS00095
NZ_PIOM01000001.1	16795	17316		minus	superoxide dismutase [Cu-Zn] SodC	sodC		protein-coding			WP_008804628.1	superoxide dismutase [Cu-Zn] SodC	173	CWM63_RS00100
NZ_PIOM01000001.1	17386	18282		minus	aldo/keto reductase family oxidoreductase			protein-coding			WP_008804627.1	aldo/keto reductase family oxidoreductase	298	CWM63_RS00105
