Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIOI01000001.1	186	1523		minus	aspartate aminotransferase family protein			protein-coding			WP_100631584.1	aspartate aminotransferase family protein	445	CWM60_RS00005
NZ_PIOI01000001.1	1704	2468		plus	SDR family NAD(P)-dependent oxidoreductase			protein-coding			WP_012968743.1	SDR family NAD(P)-dependent oxidoreductase	254	CWM60_RS00010
NZ_PIOI01000001.1	2522	3283		minus	amino acid ABC transporter ATP-binding protein			protein-coding			WP_061155415.1	amino acid ABC transporter ATP-binding protein	253	CWM60_RS00015
NZ_PIOI01000001.1	3276	3941		minus	ABC transporter permease subunit			protein-coding			WP_049155897.1	ABC transporter permease subunit	221	CWM60_RS00020
NZ_PIOI01000001.1	3956	4597		minus	amino acid ABC transporter permease			protein-coding			WP_004142522.1	amino acid ABC transporter permease	213	CWM60_RS00025
NZ_PIOI01000001.1	4645	5496		minus	transporter substrate-binding domain-containing protein			protein-coding			WP_002893184.1	transporter substrate-binding domain-containing protein	283	CWM60_RS00030
NZ_PIOI01000001.1	5738	7201		plus	PLP-dependent aminotransferase family protein			protein-coding			WP_004176948.1	PLP-dependent aminotransferase family protein	487	CWM60_RS00035
NZ_PIOI01000001.1	7198	8532		minus	PLP-dependent aminotransferase family protein			protein-coding			WP_074386625.1	PLP-dependent aminotransferase family protein	444	CWM60_RS00040
NZ_PIOI01000001.1	8656	9564		plus	DMT family transporter			protein-coding			WP_100729352.1	DMT family transporter	302	CWM60_RS00045
NZ_PIOI01000001.1	9668	10936		minus	Zn-dependent hydrolase			protein-coding			WP_100729353.1	Zn-dependent hydrolase	422	CWM60_RS00050
NZ_PIOI01000001.1	11034	12044		minus	ABC transporter ATP-binding protein			protein-coding			WP_074386627.1	ABC transporter ATP-binding protein	336	CWM60_RS00055
NZ_PIOI01000001.1	12034	13071		minus	ABC transporter ATP-binding protein			protein-coding			WP_008805547.1	ABC transporter ATP-binding protein	345	CWM60_RS00060
NZ_PIOI01000001.1	13075	13968		minus	ABC transporter permease			protein-coding			WP_074386628.1	ABC transporter permease	297	CWM60_RS00065
NZ_PIOI01000001.1	13971	14924		minus	ABC transporter permease			protein-coding			WP_074386629.1	ABC transporter permease	317	CWM60_RS00070
NZ_PIOI01000001.1	14943	16610		minus	ABC transporter substrate-binding protein			protein-coding			WP_023297185.1	ABC transporter substrate-binding protein	555	CWM60_RS00075
NZ_PIOI01000001.1	16936	18051		plus	YbdK family carboxylate-amine ligase			protein-coding			WP_100729354.1	YbdK family carboxylate-amine ligase	371	CWM60_RS00080
NZ_PIOI01000001.1	18099	18818		plus	phosphodiester glycosidase family protein			protein-coding			WP_100729355.1	phosphodiester glycosidase family protein	239	CWM60_RS00085
NZ_PIOI01000001.1	19408	22500		minus	efflux RND transporter permease subunit			protein-coding			WP_100729356.1	efflux RND transporter permease subunit	1030	CWM60_RS00090
NZ_PIOI01000001.1	22514	23593		minus	efflux RND transporter periplasmic adaptor subunit			protein-coding			WP_074386633.1	efflux RND transporter periplasmic adaptor subunit	359	CWM60_RS00095
NZ_PIOI01000001.1	23647	26370		minus	cation-transporting P-type ATPase			protein-coding			WP_061155427.1	cation-transporting P-type ATPase	907	CWM60_RS00100
NZ_PIOI01000001.1	26872	27120		plus	DUF1158 domain-containing protein			protein-coding			WP_008805539.1	DUF1158 domain-containing protein	82	CWM60_RS00110
NZ_PIOI01000001.1	27137	27478		minus	RamA family antibiotic efflux transcriptional regulator			protein-coding			WP_002893035.1	RamA family antibiotic efflux transcriptional regulator	113	CWM60_RS00115
NZ_PIOI01000001.1	27509	28624		minus	MBL fold metallo-hydrolase			protein-coding			WP_162493283.1	MBL fold metallo-hydrolase	371	CWM60_RS00120
NZ_PIOI01000001.1	28804	29385		plus	TetR/AcrR family transcriptional regulator			protein-coding			WP_074386635.1	TetR/AcrR family transcriptional regulator	193	CWM60_RS00125
NZ_PIOI01000001.1	29385	29753		plus	MmcQ/YjbR family DNA-binding protein			protein-coding			WP_008805536.1	MmcQ/YjbR family DNA-binding protein	122	CWM60_RS00130
NZ_PIOI01000001.1	29873	30526		plus	oxygen-insensitive NAD(P)H nitroreductase	nfsB		protein-coding			WP_004178896.1	oxygen-insensitive NAD(P)H nitroreductase	217	CWM60_RS00135
NZ_PIOI01000001.1	30782	31069		minus	helix-turn-helix transcriptional regulator			protein-coding			WP_074386636.1	helix-turn-helix transcriptional regulator	95	CWM60_RS00140
NZ_PIOI01000001.1	31062	31379		minus	type II toxin-antitoxin system RelE/ParE family toxin			protein-coding			WP_012542526.1	type II toxin-antitoxin system RelE/ParE family toxin	105	CWM60_RS00145
NZ_PIOI01000001.1	31563	32606		minus	DUF2157 domain-containing protein			protein-coding			WP_100729357.1	DUF2157 domain-containing protein	347	CWM60_RS00150
NZ_PIOI01000001.1	32824	33693		minus	helix-turn-helix transcriptional regulator			protein-coding			WP_100729358.1	helix-turn-helix transcriptional regulator	289	CWM60_RS00155
NZ_PIOI01000001.1	33802	35229		plus	MFS transporter			protein-coding			WP_074386638.1	MFS transporter	475	CWM60_RS00160
NZ_PIOI01000001.1	35300	36544		plus	mechanosensitive ion channel family protein			protein-coding			WP_004202471.1	mechanosensitive ion channel family protein	414	CWM60_RS00165
NZ_PIOI01000001.1	36548	37528		minus	LacI family DNA-binding transcriptional regulator			protein-coding			WP_061155433.1	LacI family DNA-binding transcriptional regulator	326	CWM60_RS00170
NZ_PIOI01000001.1	37762	38178		plus	Exc2 family lipoprotein			protein-coding			WP_004183289.1	Exc2 family lipoprotein	138	CWM60_RS00175
NZ_PIOI01000001.1	38198	39349		minus	Gfo/Idh/MocA family oxidoreductase			protein-coding			WP_074386639.1	Gfo/Idh/MocA family oxidoreductase	383	CWM60_RS00180
NZ_PIOI01000001.1	39351	40373		minus	sugar phosphate isomerase/epimerase			protein-coding			WP_074386640.1	sugar phosphate isomerase/epimerase	340	CWM60_RS00185
NZ_PIOI01000001.1	40390	41595		minus	MFS transporter			protein-coding			WP_162678332.1	MFS transporter	401	CWM60_RS00190
NZ_PIOI01000001.1	41782	43158		minus	phenylalanine transporter	pheP		protein-coding			WP_074386642.1	phenylalanine transporter	458	CWM60_RS00195
NZ_PIOI01000001.1	43417	44901		minus	aldehyde dehydrogenase family protein			protein-coding			WP_074386643.1	aldehyde dehydrogenase family protein	494	CWM60_RS00200
NZ_PIOI01000001.1	45061	46362		plus	FAD-binding oxidoreductase			protein-coding			WP_100631508.1	FAD-binding oxidoreductase	433	CWM60_RS00205
