Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIOG01000001.1	109	774		minus	type VI secretion system protein TssL, short form	tssL		protein-coding			WP_100697271.1	type VI secretion system protein TssL, short form	221	CWM53_RS00005
NZ_PIOG01000001.1	771	1151		minus	type VI secretion system baseplate subunit TssK	tssK		protein-coding			WP_227521676.1	type VI secretion system baseplate subunit TssK	126	CWM53_RS00010
NZ_PIOG01000002.1	1	465		plus	uncharacterized gene			pseudogene						CWM53_RS00015
NZ_PIOG01000003.1	48	547		minus	arylamine N-acetyltransferase			protein-coding			WP_165784987.1	arylamine N-acetyltransferase	165	CWM53_RS00020
NZ_PIOG01000004.1	1	747		minus	hypothetical protein			protein-coding			WP_227521677.1	hypothetical protein	249	CWM53_RS31765
NZ_PIOG01000005.1	1	394		plus	type I-E CRISPR-associated protein Cas6/Cse3/CasE	cas6e		protein-coding			WP_100750703.1	type I-E CRISPR-associated protein Cas6/Cse3/CasE	130	CWM53_RS00035
NZ_PIOG01000005.1	394	1311		plus	type I-E CRISPR-associated endonuclease Cas1e	cas1e		protein-coding			WP_100697322.1	type I-E CRISPR-associated endonuclease Cas1e	305	CWM53_RS00040
NZ_PIOG01000005.1	1314	1607		plus	type I-E CRISPR-associated endoribonuclease Cas2e	cas2e		protein-coding			WP_012967338.1	type I-E CRISPR-associated endoribonuclease Cas2e	97	CWM53_RS00045
NZ_PIOG01000007.1	1	395		minus	type VI secretion system baseplate subunit TssG			protein-coding			WP_165784989.1	type VI secretion system baseplate subunit TssG	131	CWM53_RS00055
NZ_PIOG01000008.1	1	184		plus	uncharacterized gene			pseudogene						CWM53_RS31575
NZ_PIOG01000008.1	198	389		minus	hypothetical protein			protein-coding			WP_100697862.1	hypothetical protein	63	CWM53_RS00065
NZ_PIOG01000008.1	606	989		minus	HGGxSTG domain-containing protein			protein-coding			WP_227521678.1	HGGxSTG domain-containing protein	127	CWM53_RS31770
NZ_PIOG01000009.1	473	1663		minus	cytochrome c biogenesis protein/redoxin			protein-coding			WP_100729641.1	cytochrome c biogenesis protein/redoxin	396	CWM53_RS00075
