Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PYTZ01000001.1	1	120		plus	uncharacterized gene			pseudogene						CWM66_RS00005
NZ_PYTZ01000001.1	491	946		plus	hypothetical protein			protein-coding			WP_007372047.1	hypothetical protein	151	CWM66_RS00010
NZ_PYTZ01000001.1	1236	1712		plus	GNAT family N-acetyltransferase			protein-coding			WP_079517878.1	GNAT family N-acetyltransferase	158	CWM66_RS00015
NZ_PYTZ01000001.1	1934	3154		minus	MFS transporter			protein-coding			WP_079517879.1	MFS transporter	406	CWM66_RS00020
NZ_PYTZ01000001.1	3310	4236		minus	LysR substrate-binding domain-containing protein			protein-coding			WP_007372051.1	LysR substrate-binding domain-containing protein	308	CWM66_RS00025
NZ_PYTZ01000001.1	4392	5480		plus	4-oxalomesaconate tautomerase			protein-coding			WP_072438899.1	4-oxalomesaconate tautomerase	362	CWM66_RS00030
NZ_PYTZ01000001.1	5575	6819		plus	MFS transporter			protein-coding			WP_007372053.1	MFS transporter	414	CWM66_RS00035
NZ_PYTZ01000001.1	6892	7755		plus	fumarylacetoacetate hydrolase family protein			protein-coding			WP_007372054.1	fumarylacetoacetate hydrolase family protein	287	CWM66_RS00040
NZ_PYTZ01000001.1	7815	8912		plus	[citrate (pro-3S)-lyase] ligase	citC		protein-coding			WP_072438898.1	[citrate (pro-3S)-lyase] ligase	365	CWM66_RS00045
NZ_PYTZ01000001.1	8914	9207		plus	citrate lyase acyl carrier protein	citD		protein-coding			WP_007372056.1	citrate lyase acyl carrier protein	97	CWM66_RS00050
NZ_PYTZ01000001.1	9204	10079		plus	citrate (pro-3S)-lyase subunit beta	citE		protein-coding			WP_035885634.1	citrate (pro-3S)-lyase subunit beta	291	CWM66_RS00055
NZ_PYTZ01000001.1	10097	11617		plus	citrate lyase subunit alpha	citF		protein-coding			WP_090396801.1	citrate lyase subunit alpha	506	CWM66_RS00060
NZ_PYTZ01000001.1	11617	12162		plus	citrate lyase holo-[acyl-carrier protein] synthase	citX		protein-coding			WP_035942265.1	citrate lyase holo-[acyl-carrier protein] synthase	181	CWM66_RS00065
NZ_PYTZ01000001.1	12137	13009		plus	triphosphoribosyl-dephospho-CoA synthase CitG	citG		protein-coding			WP_107146086.1	triphosphoribosyl-dephospho-CoA synthase CitG	290	CWM66_RS00070
NZ_PYTZ01000001.1	13044	13607		plus	alpha/beta hydrolase			protein-coding			WP_035885638.1	alpha/beta hydrolase	187	CWM66_RS00075
NZ_PYTZ01000001.1	13670	16264		plus	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	acnB		protein-coding			WP_107146087.1	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	864	CWM66_RS00080
NZ_PYTZ01000001.1	16449	16844		minus	RidA family protein			protein-coding			WP_007372063.1	RidA family protein	131	CWM66_RS00085
NZ_PYTZ01000001.1	16965	17549		plus	TetR/AcrR family transcriptional regulator			protein-coding			WP_007372064.1	TetR/AcrR family transcriptional regulator	194	CWM66_RS00090
NZ_PYTZ01000001.1	17687	19318		minus	EAL domain-containing protein			protein-coding			WP_233218343.1	EAL domain-containing protein	543	CWM66_RS00095
NZ_PYTZ01000001.1	19780	20214		minus	universal stress protein UspF	uspF		protein-coding			WP_007372068.1	universal stress protein UspF	144	CWM66_RS00100
NZ_PYTZ01000001.1	20484	21773		minus	phosphopyruvate hydratase	eno		protein-coding			WP_107146088.1	phosphopyruvate hydratase	429	CWM66_RS00105
NZ_PYTZ01000001.1	21790	22215		minus	universal stress protein			protein-coding			WP_107146089.1	universal stress protein	141	CWM66_RS00110
NZ_PYTZ01000001.1	22212	23120		minus	DHH family phosphoesterase			protein-coding			WP_107146090.1	DHH family phosphoesterase	302	CWM66_RS00115
NZ_PYTZ01000001.1	23480	25093		minus	cyclic peptide export ABC transporter			protein-coding			WP_079517885.1	cyclic peptide export ABC transporter	537	CWM66_RS00120
NZ_PYTZ01000001.1	25123	27096		minus	Fe(3+)-hydroxamate ABC transporter permease FhuB	fhuB		protein-coding			WP_107146091.1	Fe(3+)-hydroxamate ABC transporter permease FhuB	657	CWM66_RS00125
NZ_PYTZ01000001.1	27089	27955		minus	iron-siderophore ABC transporter substrate-binding protein			protein-coding			WP_227136826.1	iron-siderophore ABC transporter substrate-binding protein	288	CWM66_RS00130
NZ_PYTZ01000001.1	27949	30081		minus	TonB-dependent siderophore receptor			protein-coding			WP_035885645.1	TonB-dependent siderophore receptor	710	CWM66_RS00135
NZ_PYTZ01000001.1	30262	31005		plus	helix-turn-helix transcriptional regulator			protein-coding			WP_107146092.1	helix-turn-helix transcriptional regulator	247	CWM66_RS00140
NZ_PYTZ01000001.1	31162	31290		minus	DUF2474 domain-containing protein			protein-coding			WP_007372080.1	DUF2474 domain-containing protein	42	CWM66_RS00145
NZ_PYTZ01000001.1	31290	32300		minus	cytochrome d ubiquinol oxidase subunit II	cydB		protein-coding			WP_035885647.1	cytochrome d ubiquinol oxidase subunit II	336	CWM66_RS00150
NZ_PYTZ01000001.1	32324	33637		minus	uncharacterized gene			pseudogene						CWM66_RS00155
NZ_PYTZ01000001.1	34007	35413		plus	PLP-dependent aminotransferase family protein			protein-coding			WP_079517889.1	PLP-dependent aminotransferase family protein	468	CWM66_RS00160
NZ_PYTZ01000001.1	35760	36902		plus	putative ABC transporter substrate-binding protein YdcS	ydcS		protein-coding			WP_107146094.1	putative ABC transporter substrate-binding protein YdcS	380	CWM66_RS00165
NZ_PYTZ01000001.1	36920	37933		plus	ABC transporter ATP-binding protein			protein-coding			WP_071920832.1	ABC transporter ATP-binding protein	337	CWM66_RS00170
NZ_PYTZ01000001.1	37935	38870		plus	ABC transporter permease			protein-coding			WP_007372089.1	ABC transporter permease	311	CWM66_RS00175
NZ_PYTZ01000001.1	38860	39666		plus	ABC transporter permease			protein-coding			WP_107146095.1	ABC transporter permease	268	CWM66_RS00180
NZ_PYTZ01000001.1	39691	41115		plus	aminobutyraldehyde dehydrogenase	patD		protein-coding			WP_007372091.1	aminobutyraldehyde dehydrogenase	474	CWM66_RS00185
NZ_PYTZ01000001.1	41387	41608		plus	hypothetical protein			protein-coding			WP_035942268.1	hypothetical protein	73	CWM66_RS00190
NZ_PYTZ01000001.1	41665	42102		minus	hypothetical protein			protein-coding			WP_035885656.1	hypothetical protein	145	CWM66_RS00195
NZ_PYTZ01000001.1	42360	42629		plus	hypothetical protein			protein-coding			WP_227136866.1	hypothetical protein	89	CWM66_RS00200
NZ_PYTZ01000001.1	42790	42963		plus	GhoT/OrtT family toxin			protein-coding			WP_064569008.1	GhoT/OrtT family toxin	57	CWM66_RS00205
NZ_PYTZ01000001.1	43052	43225		plus	GhoT/OrtT family toxin			protein-coding			WP_107146097.1	GhoT/OrtT family toxin	57	CWM66_RS00210
NZ_PYTZ01000001.1	43292	44083		plus	alpha/beta hydrolase			protein-coding			WP_107146098.1	alpha/beta hydrolase	263	CWM66_RS00215
NZ_PYTZ01000001.1	44140	46314		minus	virulence factor SrfC family protein			protein-coding			WP_107146099.1	virulence factor SrfC family protein	724	CWM66_RS00220
NZ_PYTZ01000001.1	46311	49292		minus	virulence factor SrfB			protein-coding			WP_090397601.1	virulence factor SrfB	993	CWM66_RS00225
NZ_PYTZ01000001.1	49297	50643		minus	SrfA family protein			protein-coding			WP_107146100.1	SrfA family protein	448	CWM66_RS00230
