Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP017704.1	65	220		minus	uncharacterized gene		56476399	pseudogene						BS1321_RS27210
NZ_CP017704.1	217	576		minus	GerAB/ArcD/ProY family transporter		56471105	protein-coding			WP_094246542.1	GerAB/ArcD/ProY family transporter	119	BS1321_RS00010
NZ_CP017704.1	533	898		minus	GerAB/ArcD/ProY family transporter		56471106	protein-coding			WP_094246543.1	GerAB/ArcD/ProY family transporter	121	BS1321_RS00015
NZ_CP017704.1	870	2174		minus	spore germination protein		56471107	protein-coding			WP_094246544.1	spore germination protein	434	BS1321_RS00020
NZ_CP017704.1	2171	2320		minus	hypothetical protein		56476400	protein-coding			WP_157732783.1	hypothetical protein	49	BS1321_RS27215
NZ_CP017704.1	2525	3796		plus	uncharacterized gene		56471108	pseudogene						BS1321_RS00025
NZ_CP017704.1	3849	3953		plus	spore germination protein		72657151	protein-coding			WP_250645053.1	spore germination protein	34	BS1321_RS28415
NZ_CP017704.1	4139	5005		plus	uncharacterized gene		69103298	pseudogene						BS1321_RS27960
NZ_CP017704.1	5149	5391		plus	hypothetical protein		56471112	protein-coding			WP_094246548.1	hypothetical protein	80	BS1321_RS00045
NZ_CP017704.1	5399	5545		plus	hypothetical protein		56476401	protein-coding			WP_157732785.1	hypothetical protein	48	BS1321_RS27220
NZ_CP017704.1	5760	6230		plus	Ger(x)C family spore germination C-terminal domain-containing protein		56471113	protein-coding			WP_094246549.1	Ger(x)C family spore germination C-terminal domain-containing protein	156	BS1321_RS00050
NZ_CP017704.1	7037	7318		plus	hypothetical protein		69103299	protein-coding			WP_232522748.1	hypothetical protein	93	BS1321_RS27965
NZ_CP017704.1	7786	7929		plus	uncharacterized gene		56471115	pseudogene						BS1321_RS00060
NZ_CP017704.1	8352	8726		minus	DUF3888 domain-containing protein		56471116	protein-coding			WP_063236020.1	DUF3888 domain-containing protein	124	BS1321_RS00065
NZ_CP017704.1	8968	9801		minus	D-alanyl-D-alanine carboxypeptidase family protein		56471117	protein-coding			WP_232522837.1	D-alanyl-D-alanine carboxypeptidase family protein	277	BS1321_RS00070
