Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PJDI01000001.1	546	1511		minus	YbhN family protein			protein-coding			WP_023322254.1	YbhN family protein	321	CWM65_RS00010
NZ_PJDI01000001.1	1508	2752		minus	cardiolipin synthase ClsB	clsB		protein-coding			WP_074386484.1	cardiolipin synthase ClsB	414	CWM65_RS00015
NZ_PJDI01000001.1	2749	3510		minus	endonuclease/exonuclease/phosphatase family protein			protein-coding			WP_008805754.1	endonuclease/exonuclease/phosphatase family protein	253	CWM65_RS00020
NZ_PJDI01000001.1	3642	4052		plus	YbhQ family protein			protein-coding			WP_012542390.1	YbhQ family protein	136	CWM65_RS00025
NZ_PJDI01000001.1	4014	5120		minus	ABC transporter permease			protein-coding			WP_012542389.1	ABC transporter permease	368	CWM65_RS00030
NZ_PJDI01000001.1	5250	6383		minus	ABC transporter permease			protein-coding			WP_100676028.1	ABC transporter permease	377	CWM65_RS00035
NZ_PJDI01000001.1	6373	8112		minus	ATP-binding cassette domain-containing protein			protein-coding			WP_074386481.1	ATP-binding cassette domain-containing protein	579	CWM65_RS00040
NZ_PJDI01000001.1	8105	9100		minus	secretion protein HlyD	hlyD		protein-coding			WP_074386480.1	secretion protein HlyD	331	CWM65_RS00045
NZ_PJDI01000001.1	9100	9759		minus	transcriptional regulator CecR	cecR		protein-coding			WP_061155260.1	transcriptional regulator CecR	219	CWM65_RS00050
NZ_PJDI01000001.1	9833	10756		minus	LysR substrate-binding domain-containing protein			protein-coding			WP_074386479.1	LysR substrate-binding domain-containing protein	307	CWM65_RS00055
NZ_PJDI01000001.1	11175	12506		plus	MFS transporter			protein-coding			WP_074386478.1	MFS transporter	443	CWM65_RS00060
NZ_PJDI01000001.1	12557	13306		plus	glucose 1-dehydrogenase			protein-coding			WP_012542384.1	glucose 1-dehydrogenase	249	CWM65_RS00065
NZ_PJDI01000001.1	13320	14165		plus	transketolase			protein-coding			WP_074386476.1	transketolase	281	CWM65_RS00070
