Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIBM01000001.1	602	1117		minus	nitrogen fixation protein NifQ			protein-coding			WP_032733323.1	nitrogen fixation protein NifQ	171	CWM64_RS00010
NZ_PIBM01000001.1	1117	2523		minus	nitrogenase cofactor biosynthesis protein NifB	nifB		protein-coding			WP_074385335.1	nitrogenase cofactor biosynthesis protein NifB	468	CWM64_RS00015
NZ_PIBM01000001.1	2688	4262		minus	nif-specific transcriptional activator NifA	nifA		protein-coding			WP_008804120.1	nif-specific transcriptional activator NifA	524	CWM64_RS00020
NZ_PIBM01000001.1	4259	5743		minus	nitrogen fixation negative regulator NifL	nifL		protein-coding			WP_100675326.1	nitrogen fixation negative regulator NifL	494	CWM64_RS00025
NZ_PIBM01000001.1	6063	6593		plus	flavodoxin			protein-coding			WP_012967608.1	flavodoxin	176	CWM64_RS00030
NZ_PIBM01000001.1	6616	7416		minus	nitrogen fixation protein NifM	nifM		protein-coding			WP_100675327.1	nitrogen fixation protein NifM	266	CWM64_RS00035
NZ_PIBM01000001.1	7416	7859		minus	nitrogen fixation protein NifZ			protein-coding			WP_061153948.1	nitrogen fixation protein NifZ	147	CWM64_RS00040
NZ_PIBM01000001.1	7856	8113		minus	nitrogenase-stabilizing/protective protein NifW			protein-coding			WP_061153949.1	nitrogenase-stabilizing/protective protein NifW	85	CWM64_RS00045
NZ_PIBM01000001.1	8116	9258		minus	homocitrate synthase	nifV		protein-coding			WP_100675762.1	homocitrate synthase	380	CWM64_RS00050
NZ_PIBM01000001.1	9275	10477		minus	cysteine desulfurase NifS	nifS		protein-coding			WP_100675328.1	cysteine desulfurase NifS	400	CWM64_RS00055
NZ_PIBM01000001.1	10493	11332		minus	Fe-S cluster assembly protein NifU	nifU		protein-coding			WP_061153951.1	Fe-S cluster assembly protein NifU	279	CWM64_RS00060
NZ_PIBM01000001.1	11527	11997		minus	NifB/NifX family molybdenum-iron cluster-binding protein			protein-coding			WP_061153952.1	NifB/NifX family molybdenum-iron cluster-binding protein	156	CWM64_RS00065
NZ_PIBM01000001.1	11984	13369		minus	nitrogenase iron-molybdenum cofactor biosynthesis protein NifN	nifN		protein-coding			WP_100675329.1	nitrogenase iron-molybdenum cofactor biosynthesis protein NifN	461	CWM64_RS00070
NZ_PIBM01000001.1	13379	14752		minus	nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	nifE		protein-coding			WP_100675330.1	nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	457	CWM64_RS00075
NZ_PIBM01000001.1	15585	16247		minus	NifB/NifX family molybdenum-iron cluster-binding protein			protein-coding			WP_100675331.1	NifB/NifX family molybdenum-iron cluster-binding protein	220	CWM64_RS00085
NZ_PIBM01000001.1	16258	16476		minus	putative nitrogen fixation protein NifT	nifT		protein-coding			WP_004203557.1	putative nitrogen fixation protein NifT	72	CWM64_RS00090
NZ_PIBM01000001.1	16516	18078		minus	nitrogenase molybdenum-iron protein subunit beta	nifK		protein-coding			WP_100675332.1	nitrogenase molybdenum-iron protein subunit beta	520	CWM64_RS00095
NZ_PIBM01000001.1	18134	19582		minus	nitrogenase molybdenum-iron protein alpha chain	nifD		protein-coding			WP_012541112.1	nitrogenase molybdenum-iron protein alpha chain	482	CWM64_RS00100
NZ_PIBM01000001.1	19599	20480		minus	nitrogenase iron protein	nifH		protein-coding			WP_004203553.1	nitrogenase iron protein	293	CWM64_RS00105
