Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIOO01000001.1	76	501		plus	prolyl endopeptidase			protein-coding			WP_061154633.1	prolyl endopeptidase	141	CWM55_RS00005
NZ_PIOO01000001.1	540	998		minus	VOC family protein			protein-coding			WP_100675608.1	VOC family protein	152	CWM55_RS00010
NZ_PIOO01000001.1	1216	2403		plus	MFS transporter			protein-coding			WP_100675609.1	MFS transporter	395	CWM55_RS00015
NZ_PIOO01000001.1	2620	2910		plus	hypothetical protein			protein-coding			WP_008804940.1	hypothetical protein	96	CWM55_RS00020
NZ_PIOO01000001.1	3113	3874		plus	trans-aconitate 2-methyltransferase	tam		protein-coding			WP_100675610.1	trans-aconitate 2-methyltransferase	253	CWM55_RS00025
NZ_PIOO01000001.1	4031	4351		plus	carboxymuconolactone decarboxylase family protein			protein-coding			WP_061154637.1	carboxymuconolactone decarboxylase family protein	106	CWM55_RS00030
NZ_PIOO01000001.1	4342	4722		plus	tautomerase family protein			protein-coding			WP_100675611.1	tautomerase family protein	126	CWM55_RS00035
NZ_PIOO01000001.1	4771	5253		minus	uncharacterized gene	tssD		pseudogene						CWM55_RS00040
NZ_PIOO01000001.1	5272	5466		minus	hypothetical protein			protein-coding			WP_100675612.1	hypothetical protein	64	CWM55_RS00045
NZ_PIOO01000001.1	5471	6188		minus	uncharacterized gene			pseudogene						CWM55_RS00050
NZ_PIOO01000001.1	6364	6549		plus	uncharacterized gene			pseudogene						CWM55_RS00055
NZ_PIOO01000001.1	6748	7194		minus	GNAT family N-acetyltransferase			protein-coding			WP_074385899.1	GNAT family N-acetyltransferase	148	CWM55_RS00065
NZ_PIOO01000001.1	7450	8901		minus	tagaturonate reductase			protein-coding			WP_074385900.1	tagaturonate reductase	483	CWM55_RS00070
NZ_PIOO01000001.1	9015	9545		minus	GNAT family N-acetyltransferase			protein-coding			WP_012541767.1	GNAT family N-acetyltransferase	176	CWM55_RS00075
NZ_PIOO01000001.1	9623	11047		minus	GGDEF domain-containing protein			protein-coding			WP_008804947.1	GGDEF domain-containing protein	474	CWM55_RS00080
NZ_PIOO01000001.1	11162	11530		minus	DUF4186 domain-containing protein			protein-coding			WP_008804948.1	DUF4186 domain-containing protein	122	CWM55_RS00085
NZ_PIOO01000001.1	11530	12456		minus	glutaminase B	glsB		protein-coding			WP_074385903.1	glutaminase B	308	CWM55_RS00090
NZ_PIOO01000001.1	12537	13922		minus	succinate-semialdehyde dehydrogenase	sad		protein-coding			WP_100675613.1	succinate-semialdehyde dehydrogenase	461	CWM55_RS00095
NZ_PIOO01000001.1	14029	14907		plus	LysR family transcriptional regulator			protein-coding			WP_012968263.1	LysR family transcriptional regulator	292	CWM55_RS00100
NZ_PIOO01000001.1	14861	15343		minus	GNAT family N-acetyltransferase			protein-coding			WP_100675614.1	GNAT family N-acetyltransferase	160	CWM55_RS00105
NZ_PIOO01000001.1	15489	16433		plus	L-lactate dehydrogenase			protein-coding			WP_046619722.1	L-lactate dehydrogenase	314	CWM55_RS00110
NZ_PIOO01000001.1	16448	17209		minus	DeoR/GlpR family DNA-binding transcription regulator			protein-coding			WP_012968265.1	DeoR/GlpR family DNA-binding transcription regulator	253	CWM55_RS00115
NZ_PIOO01000001.1	17211	18197		minus	D-threonate 4-phosphate dehydrogenase			protein-coding			WP_100631880.1	D-threonate 4-phosphate dehydrogenase	328	CWM55_RS00120
NZ_PIOO01000001.1	18190	19425		minus	four-carbon acid sugar kinase family protein			protein-coding			WP_100631881.1	four-carbon acid sugar kinase family protein	411	CWM55_RS00125
NZ_PIOO01000001.1	19601	20749		plus	iron-containing alcohol dehydrogenase			protein-coding			WP_100675615.1	iron-containing alcohol dehydrogenase	382	CWM55_RS00130
NZ_PIOO01000001.1	20763	21647		plus	dihydrodipicolinate synthase family protein			protein-coding			WP_100631883.1	dihydrodipicolinate synthase family protein	294	CWM55_RS00135
NZ_PIOO01000001.1	21724	23133		plus	sodium:solute symporter family protein			protein-coding			WP_100631884.1	sodium:solute symporter family protein	469	CWM55_RS00140
NZ_PIOO01000001.1	23137	24303		plus	exo-alpha-sialidase			protein-coding			WP_074385911.1	exo-alpha-sialidase	388	CWM55_RS00145
NZ_PIOO01000001.1	24300	24773		plus	YhcH/YjgK/YiaL family protein			protein-coding			WP_074385912.1	YhcH/YjgK/YiaL family protein	157	CWM55_RS00150
NZ_PIOO01000001.1	24770	25447		plus	SDR family oxidoreductase			protein-coding			WP_074385913.1	SDR family oxidoreductase	225	CWM55_RS00155
