Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIOH01000001.1	181	256		minus	tRNA-Lys			tRNA						CWM59_RS00005
NZ_PIOH01000001.1	418	1218		minus	cell division protein CpoB	cpoB		protein-coding			WP_061155305.1	cell division protein CpoB	266	CWM59_RS00010
NZ_PIOH01000001.1	1228	1752		minus	peptidoglycan-associated lipoprotein Pal	pal		protein-coding			WP_002895068.1	peptidoglycan-associated lipoprotein Pal	174	CWM59_RS00015
NZ_PIOH01000001.1	1787	3079		minus	Tol-Pal system beta propeller repeat protein TolB	tolB		protein-coding			WP_023288877.1	Tol-Pal system beta propeller repeat protein TolB	430	CWM59_RS00020
NZ_PIOH01000001.1	3209	4549		minus	cell envelope integrity protein TolA	tolA		protein-coding			WP_100729330.1	cell envelope integrity protein TolA	446	CWM59_RS00025
NZ_PIOH01000001.1	4649	5077		minus	colicin uptake protein TolR	tolR		protein-coding			WP_002895061.1	colicin uptake protein TolR	142	CWM59_RS00030
NZ_PIOH01000001.1	5081	5773		minus	Tol-Pal system protein TolQ	tolQ		protein-coding			WP_074386511.1	Tol-Pal system protein TolQ	230	CWM59_RS00035
NZ_PIOH01000001.1	5770	6174		minus	tol-pal system-associated acyl-CoA thioesterase	ybgC		protein-coding			WP_002895056.1	tol-pal system-associated acyl-CoA thioesterase	134	CWM59_RS00040
NZ_PIOH01000001.1	6324	6608		minus	cyd operon protein YbgE	ybgE		protein-coding			WP_100697836.1	cyd operon protein YbgE	94	CWM59_RS00045
NZ_PIOH01000001.1	6739	6852		minus	cytochrome bd-I oxidase subunit CydX	cydX		protein-coding			WP_004100325.1	cytochrome bd-I oxidase subunit CydX	37	CWM59_RS00055
NZ_PIOH01000001.1	6868	8007		minus	cytochrome d ubiquinol oxidase subunit II	cydB		protein-coding			WP_008805690.1	cytochrome d ubiquinol oxidase subunit II	379	CWM59_RS00060
NZ_PIOH01000001.1	8023	9591		minus	cytochrome ubiquinol oxidase subunit I	cydA		protein-coding			WP_061155310.1	cytochrome ubiquinol oxidase subunit I	522	CWM59_RS00065
NZ_PIOH01000001.1	10420	11289		minus	succinate--CoA ligase subunit alpha	sucD		protein-coding			WP_004885990.1	succinate--CoA ligase subunit alpha	289	CWM59_RS00070
NZ_PIOH01000001.1	11289	12455		minus	ADP-forming succinate--CoA ligase subunit beta	sucC		protein-coding			WP_002895039.1	ADP-forming succinate--CoA ligase subunit beta	388	CWM59_RS00075
NZ_PIOH01000001.1	12601	13827		minus	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	odhB		protein-coding			WP_061155311.1	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	408	CWM59_RS00080
NZ_PIOH01000001.1	13842	16649		minus	2-oxoglutarate dehydrogenase E1 component	sucA		protein-coding			WP_061155312.1	2-oxoglutarate dehydrogenase E1 component	935	CWM59_RS00085
NZ_PIOH01000001.1	17155	17871		minus	succinate dehydrogenase iron-sulfur subunit SdhB	sdhB		protein-coding			WP_002894954.1	succinate dehydrogenase iron-sulfur subunit SdhB	238	CWM59_RS00090
NZ_PIOH01000001.1	17887	19653		minus	succinate dehydrogenase flavoprotein subunit	sdhA		protein-coding			WP_061155313.1	succinate dehydrogenase flavoprotein subunit	588	CWM59_RS00095
NZ_PIOH01000001.1	19653	20000		minus	succinate dehydrogenase membrane anchor subunit	sdhD		protein-coding			WP_002894949.1	succinate dehydrogenase membrane anchor subunit	115	CWM59_RS00100
NZ_PIOH01000001.1	19994	20398		minus	succinate dehydrogenase cytochrome b556 subunit	sdhC		protein-coding			WP_004142216.1	succinate dehydrogenase cytochrome b556 subunit	134	CWM59_RS00105
NZ_PIOH01000001.1	21039	22322		plus	citrate synthase	gltA		protein-coding			WP_061155315.1	citrate synthase	427	CWM59_RS00120
NZ_PIOH01000001.1	22389	23180		minus	endonuclease VIII	nei		protein-coding			WP_074386513.1	endonuclease VIII	263	CWM59_RS00125
NZ_PIOH01000001.1	23196	23840		minus	pyroglutamyl-peptidase I	pcp		protein-coding			WP_074386514.1	pyroglutamyl-peptidase I	214	CWM59_RS00130
NZ_PIOH01000001.1	23870	24622		minus	5-oxoprolinase subunit PxpA	pxpA		protein-coding			WP_061155318.1	5-oxoprolinase subunit PxpA	250	CWM59_RS00135
NZ_PIOH01000001.1	24612	25544		minus	5-oxoprolinase subunit PxpC			protein-coding			WP_061155319.1	5-oxoprolinase subunit PxpC	310	CWM59_RS00140
NZ_PIOH01000001.1	25538	26194		minus	5-oxoprolinase subunit PxpB	pxpB		protein-coding			WP_061155320.1	5-oxoprolinase subunit PxpB	218	CWM59_RS00145
NZ_PIOH01000001.1	26209	26952		minus	type 2 GTP cyclohydrolase I			protein-coding			WP_100729331.1	type 2 GTP cyclohydrolase I	247	CWM59_RS00150
