Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NC_015567.1	121	1512		plus	chromosomal replication initiator protein DnaA	dnaA	57664813	protein-coding			WP_004950554.1	chromosomal replication initiator protein DnaA	463	SERAS9_RS00005
NC_015567.1	1517	2617		plus	DNA polymerase III subunit beta	dnaN	57664814	protein-coding			WP_013810926.1	DNA polymerase III subunit beta	366	SERAS9_RS00010
NC_015567.1	2773	3858		plus	DNA replication/repair protein RecF	recF	57664815	protein-coding			WP_006322860.1	DNA replication/repair protein RecF	361	SERAS9_RS00015
NC_015567.1	3877	6291		plus	DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	57664816	protein-coding			WP_013810927.1	DNA topoisomerase (ATP-hydrolyzing) subunit B	804	SERAS9_RS00020
NC_015567.1	6416	7231		plus	sugar-phosphatase	yidA	57664817	protein-coding			WP_013810928.1	sugar-phosphatase	271	SERAS9_RS00025
NC_015567.1	7276	8217		minus	ornithine cyclodeaminase family protein		57664818	protein-coding			WP_013810929.1	ornithine cyclodeaminase family protein	313	SERAS9_RS00030
NC_015567.1	8204	9172		minus	threonine/serine dehydratase		57664819	protein-coding			WP_041416517.1	threonine/serine dehydratase	322	SERAS9_RS00035
NC_015567.1	9391	10671		plus	DUF3748 domain-containing protein		57664820	protein-coding			WP_013810931.1	DUF3748 domain-containing protein	426	SERAS9_RS00040
NC_015567.1	10708	11052		minus	YceK/YidQ family lipoprotein		57664821	protein-coding			WP_013810932.1	YceK/YidQ family lipoprotein	114	SERAS9_RS00045
NC_015567.1	11356	11769		plus	heat shock chaperone IbpA	ibpA	57664822	protein-coding			WP_004950577.1	heat shock chaperone IbpA	137	SERAS9_RS00050
NC_015567.1	12029	12457		plus	heat shock chaperone IbpB	ibpB	57664823	protein-coding			WP_013810933.1	heat shock chaperone IbpB	142	SERAS9_RS00055
NC_015567.1	12626	14284		plus	putative transporter		57664824	protein-coding			WP_013810934.1	putative transporter	552	SERAS9_RS00060
NC_015567.1	14337	15590		minus	valine--pyruvate transaminase		57664825	protein-coding			WP_006322873.1	valine--pyruvate transaminase	417	SERAS9_RS00065
NC_015567.1	15725	17791		minus	alpha-amylase		57664826	protein-coding			WP_013810935.1	alpha-amylase	688	SERAS9_RS00070
NC_015567.1	17980	18228		plus	ribbon-helix-helix protein, CopG family		57664827	protein-coding			WP_013810936.1	ribbon-helix-helix protein, CopG family	82	SERAS9_RS00075
NC_015567.1	18218	18505		plus	type II toxin-antitoxin system RelE/ParE family toxin		57664828	protein-coding			WP_013810937.1	type II toxin-antitoxin system RelE/ParE family toxin	95	SERAS9_RS00080
NC_015567.1	18550	19527		minus	glyoxylate/hydroxypyruvate reductase GhrB	ghrB	57664829	protein-coding			WP_013810938.1	glyoxylate/hydroxypyruvate reductase GhrB	325	SERAS9_RS00085
NC_015567.1	19629	20897		minus	MFS transporter		57664830	protein-coding			WP_013810939.1	MFS transporter	422	SERAS9_RS00090
NC_015567.1	21006	21965		minus	sugar kinase		57664831	protein-coding			WP_013810940.1	sugar kinase	319	SERAS9_RS00095
NC_015567.1	21971	22723		minus	hypothetical protein		57664832	protein-coding			WP_013810941.1	hypothetical protein	250	SERAS9_RS00100
