Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PYUA01000001.1	2	78		plus	tRNA-Met			tRNA						C9414_RS00005
NZ_PYUA01000001.1	83	159		plus	tRNA-Asp			tRNA						C9414_RS00010
NZ_PYUA01000001.1	187	259		plus	tRNA-Phe			tRNA						C9414_RS00015
NZ_PYUA01000001.1	607	1314		plus	response regulator YycF	yycF		protein-coding			WP_024424030.1	response regulator YycF	235	C9414_RS00020
NZ_PYUA01000001.1	1322	3160		plus	cell wall metabolism sensor histidine kinase WalK	walK		protein-coding			WP_107162790.1	cell wall metabolism sensor histidine kinase WalK	612	C9414_RS00025
NZ_PYUA01000001.1	3150	4529		plus	two-component system activity regulator YycH	yycH		protein-coding			WP_047203089.1	two-component system activity regulator YycH	459	C9414_RS00030
NZ_PYUA01000001.1	4516	5379		plus	two-component system regulatory protein YycI	yycI		protein-coding			WP_047203088.1	two-component system regulatory protein YycI	287	C9414_RS00035
NZ_PYUA01000001.1	5386	6180		plus	MBL fold metallo-hydrolase			protein-coding			WP_107162791.1	MBL fold metallo-hydrolase	264	C9414_RS00040
NZ_PYUA01000001.1	6262	7449		plus	S1C family serine protease			protein-coding			WP_099663869.1	S1C family serine protease	395	C9414_RS00045
NZ_PYUA01000001.1	7518	7982		plus	GNAT family N-acetyltransferase			protein-coding			WP_106025382.1	GNAT family N-acetyltransferase	154	C9414_RS00050
NZ_PYUA01000001.1	8022	8903		minus	ABC transporter ATP-binding protein			protein-coding			WP_107162792.1	ABC transporter ATP-binding protein	293	C9414_RS00055
NZ_PYUA01000001.1	8904	9593		minus	ABC transporter permease subunit			protein-coding			WP_039182821.1	ABC transporter permease subunit	229	C9414_RS00060
NZ_PYUA01000001.1	10168	11028		plus	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein			protein-coding			WP_041089455.1	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	286	C9414_RS00065
NZ_PYUA01000001.1	11043	11600		plus	ECF-type riboflavin transporter substrate-binding protein			protein-coding			WP_024424020.1	ECF-type riboflavin transporter substrate-binding protein	185	C9414_RS00070
NZ_PYUA01000001.1	11620	13335		plus	ABC transporter ATP-binding protein			protein-coding			WP_107162793.1	ABC transporter ATP-binding protein	571	C9414_RS00075
NZ_PYUA01000001.1	13326	14156		plus	energy-coupling factor transporter transmembrane component T			protein-coding			WP_107162794.1	energy-coupling factor transporter transmembrane component T	276	C9414_RS00080
NZ_PYUA01000001.1	14318	14488		plus	CxxH/CxxC protein			protein-coding			WP_008360116.1	CxxH/CxxC protein	56	C9414_RS00085
NZ_PYUA01000001.1	14569	15048		plus	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rlmH		protein-coding			WP_107162795.1	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	159	C9414_RS00090
NZ_PYUA01000001.1	15093	17219		plus	ATP-binding protein			protein-coding			WP_058838364.1	ATP-binding protein	708	C9414_RS00095
