Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PYTX01000001.1	149	263		plus	5S ribosomal RNA	rrf		rRNA						C9416_RS00005
NZ_PYTX01000001.1	506	2221		minus	M28 family metallopeptidase			protein-coding			WP_107232090.1	M28 family metallopeptidase	571	C9416_RS00010
NZ_PYTX01000001.1	2309	2971		minus	hypothetical protein			protein-coding			WP_107232091.1	hypothetical protein	220	C9416_RS00015
NZ_PYTX01000001.1	3151	4365		plus	peptidoglycan DD-metalloendopeptidase family protein			protein-coding			WP_258190254.1	peptidoglycan DD-metalloendopeptidase family protein	404	C9416_RS00020
NZ_PYTX01000001.1	4474	5910		plus	S41 family peptidase			protein-coding			WP_107232093.1	S41 family peptidase	478	C9416_RS00025
NZ_PYTX01000001.1	5995	6687		minus	rhomboid family intramembrane serine protease			protein-coding			WP_107232094.1	rhomboid family intramembrane serine protease	230	C9416_RS00030
NZ_PYTX01000001.1	6918	8345		plus	outer membrane protein transport protein			protein-coding			WP_107232095.1	outer membrane protein transport protein	475	C9416_RS00035
NZ_PYTX01000001.1	8484	9056		plus	nicotinamide riboside transporter PnuC	pnuC		protein-coding			WP_107232096.1	nicotinamide riboside transporter PnuC	190	C9416_RS00040
NZ_PYTX01000001.1	9175	12393		minus	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA	putA		protein-coding			WP_107232097.1	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA	1072	C9416_RS00045
NZ_PYTX01000001.1	12668	13144		plus	DUF2244 domain-containing protein			protein-coding			WP_107232098.1	DUF2244 domain-containing protein	158	C9416_RS00050
NZ_PYTX01000001.1	13156	14112		plus	cytochrome c oxidase subunit II	coxB		protein-coding			WP_107232099.1	cytochrome c oxidase subunit II	318	C9416_RS00055
NZ_PYTX01000001.1	14172	15779		plus	cytochrome c oxidase subunit I	ctaD		protein-coding			WP_107232100.1	cytochrome c oxidase subunit I	535	C9416_RS00060
