Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PJDJ01000001.1	1	521		plus	23S rRNA accumulation protein YceD	yceD		protein-coding			WP_101138972.1	23S rRNA accumulation protein YceD	172	CW266_RS00005
NZ_PJDJ01000001.1	538	711		plus	50S ribosomal protein L32	rpmF		protein-coding			WP_000290724.1	50S ribosomal protein L32	57	CW266_RS00010
NZ_PJDJ01000001.1	915	2012		plus	phosphate acyltransferase PlsX	plsX		protein-coding			WP_012542244.1	phosphate acyltransferase PlsX	365	CW266_RS00015
NZ_PJDJ01000001.1	2067	3020		plus	beta-ketoacyl-ACP synthase III			protein-coding			WP_012968572.1	beta-ketoacyl-ACP synthase III	317	CW266_RS00020
NZ_PJDJ01000001.1	3036	3965		plus	ACP S-malonyltransferase	fabD		protein-coding			WP_012542242.1	ACP S-malonyltransferase	309	CW266_RS00025
NZ_PJDJ01000001.1	3978	4712		plus	3-oxoacyl-ACP reductase FabG	fabG		protein-coding			WP_002899294.1	3-oxoacyl-ACP reductase FabG	244	CW266_RS00030
NZ_PJDJ01000001.1	4923	5159		plus	acyl carrier protein	acpP		protein-coding			WP_000103754.1	acyl carrier protein	78	CW266_RS00035
NZ_PJDJ01000001.1	5249	6490		plus	beta-ketoacyl-ACP synthase II	fabF		protein-coding			WP_012542241.1	beta-ketoacyl-ACP synthase II	413	CW266_RS00040
NZ_PJDJ01000001.1	6616	7425		plus	aminodeoxychorismate lyase	pabC		protein-coding			WP_101138974.1	aminodeoxychorismate lyase	269	CW266_RS00045
NZ_PJDJ01000001.1	7427	8449		plus	cell division protein YceG	yceG		protein-coding			WP_016160617.1	cell division protein YceG	340	CW266_RS00050
NZ_PJDJ01000001.1	8439	9080		plus	dTMP kinase	tmk		protein-coding			WP_023339888.1	dTMP kinase	213	CW266_RS00055
NZ_PJDJ01000001.1	9077	10081		plus	DNA polymerase III subunit delta'	holB		protein-coding			WP_012968571.1	DNA polymerase III subunit delta'	334	CW266_RS00060
NZ_PJDJ01000001.1	10092	10886		plus	metal-dependent hydrolase			protein-coding			WP_008805992.1	metal-dependent hydrolase	264	CW266_RS00065
NZ_PJDJ01000001.1	11183	12616		plus	PTS glucose transporter subunit IIBC	ptsG		protein-coding			WP_008805993.1	PTS glucose transporter subunit IIBC	477	CW266_RS00070
NZ_PJDJ01000001.1	12878	13234		plus	purine nucleoside phosphoramidase	hinT		protein-coding			WP_004204571.1	purine nucleoside phosphoramidase	118	CW266_RS00080
NZ_PJDJ01000001.1	13239	13613		plus	YcfL family protein			protein-coding			WP_002900683.1	YcfL family protein	124	CW266_RS00085
NZ_PJDJ01000001.1	13635	14273		plus	penicillin-binding protein activator LpoB	lpoB		protein-coding			WP_162493324.1	penicillin-binding protein activator LpoB	212	CW266_RS00090
NZ_PJDJ01000001.1	14254	15081		plus	thiamine kinase	thiK		protein-coding			WP_064166143.1	thiamine kinase	275	CW266_RS00095
NZ_PJDJ01000001.1	15105	16115		plus	beta-N-acetylhexosaminidase	nagZ		protein-coding			WP_155870606.1	beta-N-acetylhexosaminidase	336	CW266_RS00100
NZ_PJDJ01000001.1	16151	16693		plus	alpha/beta hydrolase YcfP	ycfP		protein-coding			WP_002900775.1	alpha/beta hydrolase YcfP	180	CW266_RS00105
NZ_PJDJ01000001.1	16938	18242		plus	NAD(P)/FAD-dependent oxidoreductase			protein-coding			WP_008805997.1	NAD(P)/FAD-dependent oxidoreductase	434	CW266_RS00110
NZ_PJDJ01000001.1	18435	18974		plus	glycine zipper 2TM domain-containing protein			protein-coding			WP_008805999.1	glycine zipper 2TM domain-containing protein	179	CW266_RS00115
NZ_PJDJ01000001.1	19032	21221		minus	TonB-dependent siderophore receptor			protein-coding			WP_023339891.1	TonB-dependent siderophore receptor	729	CW266_RS00120
NZ_PJDJ01000001.1	21291	21413		plus	hypothetical protein			protein-coding			WP_012542233.1	hypothetical protein	40	CW266_RS28160
NZ_PJDJ01000001.1	21466	22101		minus	TetR/AcrR family transcriptional regulator			protein-coding			WP_008806001.1	TetR/AcrR family transcriptional regulator	211	CW266_RS00125
NZ_PJDJ01000001.1	22098	22217		minus	hypothetical protein			protein-coding			WP_046622381.1	hypothetical protein	39	CW266_RS28165
NZ_PJDJ01000001.1	22351	22608		plus	multiple stress resistance protein BhsA	bhsA		protein-coding			WP_012542232.1	multiple stress resistance protein BhsA	85	CW266_RS00130
NZ_PJDJ01000001.1	22737	23696		minus	L,D-transpeptidase family protein			protein-coding			WP_012542231.1	L,D-transpeptidase family protein	319	CW266_RS00135
NZ_PJDJ01000001.1	23860	27306		minus	transcription-repair coupling factor	mfd		protein-coding			WP_012542229.1	transcription-repair coupling factor	1148	CW266_RS00140
NZ_PJDJ01000001.1	27346	27474		plus	uncharacterized gene			pseudogene						CW266_RS28170
NZ_PJDJ01000001.1	27611	28810		plus	lipoprotein-releasing ABC transporter permease subunit LolC	lolC		protein-coding			WP_012542228.1	lipoprotein-releasing ABC transporter permease subunit LolC	399	CW266_RS00150
NZ_PJDJ01000001.1	28803	29504		plus	lipoprotein-releasing ABC transporter ATP-binding protein LolD	lolD		protein-coding			WP_002900798.1	lipoprotein-releasing ABC transporter ATP-binding protein LolD	233	CW266_RS00155
NZ_PJDJ01000001.1	29504	30748		plus	lipoprotein-releasing ABC transporter permease subunit LolE	lolE		protein-coding			WP_012542227.1	lipoprotein-releasing ABC transporter permease subunit LolE	414	CW266_RS00160
NZ_PJDJ01000001.1	30797	31708		plus	N-acetylglucosamine kinase	nagK		protein-coding			WP_038422335.1	N-acetylglucosamine kinase	303	CW266_RS00165
NZ_PJDJ01000001.1	31723	32553		plus	NAD-dependent protein deacylase	cobB		protein-coding			WP_101138976.1	NAD-dependent protein deacylase	276	CW266_RS00170
NZ_PJDJ01000001.1	32644	32988		plus	hypothetical protein			protein-coding			WP_032732775.1	hypothetical protein	114	CW266_RS00175
NZ_PJDJ01000001.1	33240	34868		plus	long-chain fatty acid--CoA ligase			protein-coding			WP_012542220.1	long-chain fatty acid--CoA ligase	542	CW266_RS00180
NZ_PJDJ01000001.1	34865	36589		plus	aldehyde dehydrogenase family protein			protein-coding			WP_101138978.1	aldehyde dehydrogenase family protein	574	CW266_RS00185
NZ_PJDJ01000001.1	36634	37680		minus	spermidine/putrescine ABC transporter substrate-binding protein PotD	potD		protein-coding			WP_008806018.1	spermidine/putrescine ABC transporter substrate-binding protein PotD	348	CW266_RS00190
NZ_PJDJ01000001.1	37677	38462		minus	spermidine/putrescine ABC transporter permease PotC	potC		protein-coding			WP_012968557.1	spermidine/putrescine ABC transporter permease PotC	261	CW266_RS00195
NZ_PJDJ01000001.1	38459	39316		minus	spermidine/putrescine ABC transporter permease PotB	potB		protein-coding			WP_008806020.1	spermidine/putrescine ABC transporter permease PotB	285	CW266_RS00200
