Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIBN01000001.1	256	1101		minus	LysR family transcriptional regulator			protein-coding			WP_100630381.1	LysR family transcriptional regulator	281	CWM61_RS00010
NZ_PIBN01000001.1	1176	2249		plus	nitronate monooxygenase			protein-coding			WP_100630382.1	nitronate monooxygenase	357	CWM61_RS00015
NZ_PIBN01000001.1	2260	2919		minus	methionine ABC transporter permease			protein-coding			WP_004217626.1	methionine ABC transporter permease	219	CWM61_RS00020
NZ_PIBN01000001.1	2916	3707		minus	ATP-binding cassette domain-containing protein			protein-coding			WP_074385890.1	ATP-binding cassette domain-containing protein	263	CWM61_RS00025
NZ_PIBN01000001.1	3704	4510		minus	MetQ/NlpA family ABC transporter substrate-binding protein			protein-coding			WP_100630384.1	MetQ/NlpA family ABC transporter substrate-binding protein	268	CWM61_RS00030
NZ_PIBN01000001.1	4534	5562		minus	isopenicillin N synthase family oxygenase			protein-coding			WP_032435343.1	isopenicillin N synthase family oxygenase	342	CWM61_RS00035
NZ_PIBN01000001.1	5846	6109		plus	VF530 family protein			protein-coding			WP_002904643.1	VF530 family protein	87	CWM61_RS00040
NZ_PIBN01000001.1	6131	6442		plus	cupin			protein-coding			WP_004205936.1	cupin	103	CWM61_RS00045
NZ_PIBN01000001.1	6620	7375		plus	VOC family protein			protein-coding			WP_100630386.1	VOC family protein	251	CWM61_RS00050
NZ_PIBN01000001.1	7385	8329		minus	AraC family transcriptional regulator			protein-coding			WP_100630388.1	AraC family transcriptional regulator	314	CWM61_RS00055
NZ_PIBN01000001.1	8435	9673		plus	MFS transporter			protein-coding			WP_032413413.1	MFS transporter	412	CWM61_RS00060
NZ_PIBN01000001.1	9650	10624		minus	molybdenum cofactor-independent xanthine hydroxylase subunit HpxE	hpxE		protein-coding			WP_100630389.1	molybdenum cofactor-independent xanthine hydroxylase subunit HpxE	324	CWM61_RS00065
NZ_PIBN01000001.1	10636	11673		minus	molybdenum cofactor-independent xanthine hydroxylase subunit HpxD	hpxD		protein-coding			WP_004148366.1	molybdenum cofactor-independent xanthine hydroxylase subunit HpxD	345	CWM61_RS00070
