Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIOL01000001.1	1	111		plus	integrase core domain-containing protein			protein-coding			WP_130946814.1	integrase core domain-containing protein	36	CWM56_RS00005
NZ_PIOL01000001.1	532	1083		plus	spore coat protein U domain-containing protein			protein-coding			WP_080783363.1	spore coat protein U domain-containing protein	183	CWM56_RS00010
NZ_PIOL01000001.1	1185	1640		plus	spore coat U domain-containing protein			protein-coding			WP_165785988.1	spore coat U domain-containing protein	151	CWM56_RS00015
NZ_PIOL01000001.1	1663	2421		plus	fimbria/pilus periplasmic chaperone			protein-coding			WP_080783365.1	fimbria/pilus periplasmic chaperone	252	CWM56_RS00020
NZ_PIOL01000001.1	2439	4826		plus	fimbria/pilus outer membrane usher protein			protein-coding			WP_086071033.1	fimbria/pilus outer membrane usher protein	795	CWM56_RS00025
NZ_PIOL01000001.1	4836	5999		plus	spore coat U domain-containing protein			protein-coding			WP_100750931.1	spore coat U domain-containing protein	387	CWM56_RS00030
NZ_PIOL01000001.1	6277	6543		plus	DUF1778 domain-containing protein			protein-coding			WP_075912831.1	DUF1778 domain-containing protein	88	CWM56_RS00035
NZ_PIOL01000001.1	6531	7013		plus	GNAT family N-acetyltransferase			protein-coding			WP_080783332.1	GNAT family N-acetyltransferase	160	CWM56_RS00040
NZ_PIOL01000001.1	7132	7527		minus	uncharacterized gene			pseudogene						CWM56_RS00045
NZ_PIOL01000001.1	7544	7735		plus	uncharacterized gene			pseudogene						CWM56_RS00050
NZ_PIOL01000001.1	8012	8185		plus	uncharacterized gene			pseudogene						CWM56_RS31385
NZ_PIOL01000001.1	8594	9049		plus	MarR family transcriptional regulator			protein-coding			WP_100750932.1	MarR family transcriptional regulator	151	CWM56_RS00060
NZ_PIOL01000001.1	9065	10243		plus	efflux RND transporter periplasmic adaptor subunit			protein-coding			WP_008804875.1	efflux RND transporter periplasmic adaptor subunit	392	CWM56_RS00065
NZ_PIOL01000001.1	10254	11792		plus	DHA2 family efflux MFS transporter permease subunit			protein-coding			WP_012968223.1	DHA2 family efflux MFS transporter permease subunit	512	CWM56_RS00070
NZ_PIOL01000001.1	11977	13650		minus	ABC transporter ATP-binding protein			protein-coding			WP_072122411.1	ABC transporter ATP-binding protein	557	CWM56_RS00075
NZ_PIOL01000001.1	13647	14510		minus	ABC transporter permease			protein-coding			WP_012968221.1	ABC transporter permease	287	CWM56_RS00080
NZ_PIOL01000001.1	14503	15465		minus	ABC transporter permease			protein-coding			WP_008804871.1	ABC transporter permease	320	CWM56_RS00085
NZ_PIOL01000001.1	15443	17053		minus	ABC transporter substrate-binding protein			protein-coding			WP_060619570.1	ABC transporter substrate-binding protein	536	CWM56_RS00090
NZ_PIOL01000001.1	17432	18076		minus	TenA family protein			protein-coding			WP_100750933.1	TenA family protein	214	CWM56_RS00095
NZ_PIOL01000001.1	18076	18921		minus	BtpA/SgcQ family protein			protein-coding			WP_100750934.1	BtpA/SgcQ family protein	281	CWM56_RS00100
NZ_PIOL01000001.1	18948	19820		plus	PfkB family carbohydrate kinase			protein-coding			WP_008804868.1	PfkB family carbohydrate kinase	290	CWM56_RS00105
NZ_PIOL01000001.1	19822	20775		minus	substrate-binding domain-containing protein			protein-coding			WP_004190071.1	substrate-binding domain-containing protein	317	CWM56_RS00110
NZ_PIOL01000001.1	21120	22142		plus	LacI family DNA-binding transcriptional regulator			protein-coding			WP_004190069.1	LacI family DNA-binding transcriptional regulator	340	CWM56_RS00115
NZ_PIOL01000001.1	22523	23269		plus	ATP-binding cassette domain-containing protein			protein-coding			WP_004198552.1	ATP-binding cassette domain-containing protein	248	CWM56_RS00120
NZ_PIOL01000001.1	23288	24289		plus	ABC transporter permease			protein-coding			WP_016161045.1	ABC transporter permease	333	CWM56_RS00125
NZ_PIOL01000001.1	24293	25372		plus	phosphotriesterase-related protein			protein-coding			WP_040968510.1	phosphotriesterase-related protein	359	CWM56_RS00130
NZ_PIOL01000001.1	25387	26142		plus	glutamine amidotransferase			protein-coding			WP_008804865.1	glutamine amidotransferase	251	CWM56_RS00135
NZ_PIOL01000001.1	26142	27284		plus	M20 family metallopeptidase			protein-coding			WP_100750935.1	M20 family metallopeptidase	380	CWM56_RS00140
NZ_PIOL01000001.1	27396	27824		plus	cell envelope integrity protein TolA			protein-coding			WP_100750936.1	cell envelope integrity protein TolA	142	CWM56_RS00145
NZ_PIOL01000001.1	27929	28723		minus	N-acyl homoserine lactonase family protein			protein-coding			WP_004218740.1	N-acyl homoserine lactonase family protein	264	CWM56_RS00150
NZ_PIOL01000001.1	28884	29771		plus	LysR family transcriptional regulator			protein-coding			WP_040968511.1	LysR family transcriptional regulator	295	CWM56_RS00155
NZ_PIOL01000001.1	29813	30715		minus	LysR family transcriptional regulator			protein-coding			WP_016161050.1	LysR family transcriptional regulator	300	CWM56_RS00160
NZ_PIOL01000001.1	30819	32027		plus	MFS transporter			protein-coding			WP_100750937.1	MFS transporter	402	CWM56_RS00165
NZ_PIOL01000001.1	32085	32705		minus	LysE family translocator			protein-coding			WP_016161052.1	LysE family translocator	206	CWM56_RS00170
NZ_PIOL01000001.1	32891	33997		minus	PTS fructose transporter subunit IIC			protein-coding			WP_012968207.1	PTS fructose transporter subunit IIC	368	CWM56_RS00175
NZ_PIOL01000001.1	34040	34351		minus	fructose PTS transporter subunit IIB			protein-coding			WP_004179922.1	fructose PTS transporter subunit IIB	103	CWM56_RS00180
NZ_PIOL01000001.1	34409	34879		minus	PTS sugar transporter subunit IIA			protein-coding			WP_049138070.1	PTS sugar transporter subunit IIA	156	CWM56_RS00185
NZ_PIOL01000001.1	34993	35673		minus	D-allulose 6-phosphate 3-epimerase	alsE		protein-coding			WP_012968205.1	D-allulose 6-phosphate 3-epimerase	226	CWM56_RS00190
NZ_PIOL01000001.1	35697	36959		minus	PTS ascorbate transporter subunit IIC			protein-coding			WP_100750938.1	PTS ascorbate transporter subunit IIC	420	CWM56_RS00195
NZ_PIOL01000001.1	36990	37256		minus	PTS sugar transporter subunit IIB			protein-coding			WP_012968203.1	PTS sugar transporter subunit IIB	88	CWM56_RS00200
NZ_PIOL01000001.1	37268	37705		minus	PTS sugar transporter subunit IIA			protein-coding			WP_032733050.1	PTS sugar transporter subunit IIA	145	CWM56_RS00205
NZ_PIOL01000001.1	37923	38975		plus	LacI family DNA-binding transcriptional regulator			protein-coding			WP_100751090.1	LacI family DNA-binding transcriptional regulator	350	CWM56_RS00210
NZ_PIOL01000001.1	39012	39932		minus	LysR family transcriptional regulator			protein-coding			WP_012968200.1	LysR family transcriptional regulator	306	CWM56_RS00215
NZ_PIOL01000001.1	40037	40702		plus	SDR family oxidoreductase			protein-coding			WP_060875789.1	SDR family oxidoreductase	221	CWM56_RS00220
NZ_PIOL01000001.1	41017	42813		minus	allophanate hydrolase	atzF		protein-coding			WP_100750939.1	allophanate hydrolase	598	CWM56_RS00225
NZ_PIOL01000001.1	42810	46415		minus	urea carboxylase	uca		protein-coding			WP_100750940.1	urea carboxylase	1201	CWM56_RS00230
NZ_PIOL01000001.1	46582	47217		minus	urea carboxylase-associated family protein			protein-coding			WP_008804848.1	urea carboxylase-associated family protein	211	CWM56_RS00235
NZ_PIOL01000001.1	47228	47956		minus	urea carboxylase-associated family protein			protein-coding			WP_100750941.1	urea carboxylase-associated family protein	242	CWM56_RS00240
NZ_PIOL01000001.1	47961	48737		minus	ABC transporter ATP-binding protein			protein-coding			WP_039103523.1	ABC transporter ATP-binding protein	258	CWM56_RS00245
NZ_PIOL01000001.1	48734	49549		minus	ABC transporter permease			protein-coding			WP_008804845.1	ABC transporter permease	271	CWM56_RS00250
NZ_PIOL01000001.1	49574	50632		minus	putative urea ABC transporter substrate-binding protein			protein-coding			WP_008804844.1	putative urea ABC transporter substrate-binding protein	352	CWM56_RS00255
NZ_PIOL01000001.1	51234	52532		plus	oxalate/formate MFS antiporter	oxlT		protein-coding			WP_023297642.1	oxalate/formate MFS antiporter	432	CWM56_RS00260
NZ_PIOL01000001.1	52570	53148		minus	GNAT family protein			protein-coding			WP_165785989.1	GNAT family protein	192	CWM56_RS00265
NZ_PIOL01000001.1	53179	53781		minus	HAD-IB family hydrolase			protein-coding			WP_100750943.1	HAD-IB family hydrolase	200	CWM56_RS00270
NZ_PIOL01000001.1	53935	54513		plus	TetR/AcrR family transcriptional regulator			protein-coding			WP_023340166.1	TetR/AcrR family transcriptional regulator	192	CWM56_RS00275
NZ_PIOL01000001.1	54489	55589		minus	iron-containing redox enzyme family protein			protein-coding			WP_012541692.1	iron-containing redox enzyme family protein	366	CWM56_RS00280
NZ_PIOL01000001.1	55793	56707		plus	DMT family transporter			protein-coding			WP_100750944.1	DMT family transporter	304	CWM56_RS00285
NZ_PIOL01000001.1	56748	57980		minus	MFS transporter			protein-coding			WP_100750945.1	MFS transporter	410	CWM56_RS00290
NZ_PIOL01000001.1	58257	59864		plus	FAD-NAD(P)-binding protein			protein-coding			WP_023340169.1	FAD-NAD(P)-binding protein	535	CWM56_RS00295
NZ_PIOL01000001.1	59972	61072		plus	NADH:flavin oxidoreductase/NADH oxidase			protein-coding			WP_048330195.1	NADH:flavin oxidoreductase/NADH oxidase	366	CWM56_RS00300
NZ_PIOL01000001.1	61305	61793		minus	E3 ubiquitin--protein ligase			protein-coding			WP_165785990.1	E3 ubiquitin--protein ligase	162	CWM56_RS00305
NZ_PIOL01000001.1	61881	62786		minus	LysR family transcriptional regulator			protein-coding			WP_162493318.1	LysR family transcriptional regulator	301	CWM56_RS00310
NZ_PIOL01000001.1	62961	63938		plus	nitronate monooxygenase			protein-coding			WP_002905232.1	nitronate monooxygenase	325	CWM56_RS00315
NZ_PIOL01000001.1	63971	65230		minus	allantoate amidohydrolase	hpxK		protein-coding			WP_063266861.1	allantoate amidohydrolase	419	CWM56_RS00320
NZ_PIOL01000001.1	65227	66468		minus	alanine--glyoxylate aminotransferase family protein			protein-coding			WP_008804831.1	alanine--glyoxylate aminotransferase family protein	413	CWM56_RS00325
NZ_PIOL01000001.1	66484	67221		minus	amino acid ABC transporter ATP-binding protein			protein-coding			WP_008804830.1	amino acid ABC transporter ATP-binding protein	245	CWM56_RS00330
NZ_PIOL01000001.1	67202	67858		minus	amino acid ABC transporter permease			protein-coding			WP_004179948.1	amino acid ABC transporter permease	218	CWM56_RS00335
NZ_PIOL01000001.1	67858	68523		minus	amino acid ABC transporter permease			protein-coding			WP_004176117.1	amino acid ABC transporter permease	221	CWM56_RS00340
NZ_PIOL01000001.1	68533	69318		minus	transporter substrate-binding domain-containing protein			protein-coding			WP_032754423.1	transporter substrate-binding domain-containing protein	261	CWM56_RS00345
NZ_PIOL01000001.1	69532	70371		minus	MurR/RpiR family transcriptional regulator HpxU	hpxU		protein-coding			WP_100750947.1	MurR/RpiR family transcriptional regulator HpxU	279	CWM56_RS00350
NZ_PIOL01000001.1	70551	72137		plus	oxamate amidohydrolase	hpxW		protein-coding			WP_100750948.1	oxamate amidohydrolase	528	CWM56_RS00355
NZ_PIOL01000001.1	72148	72333		plus	oxalurate catabolism protein HpxX	hpxX		protein-coding			WP_012968178.1	oxalurate catabolism protein HpxX	61	CWM56_RS00360
NZ_PIOL01000001.1	72330	73727		plus	AtzE family amidohydrolase			protein-coding			WP_043875251.1	AtzE family amidohydrolase	465	CWM56_RS00365
NZ_PIOL01000001.1	73724	74110		plus	oxalurate catabolism protein HpxZ	hpxZ		protein-coding			WP_100675563.1	oxalurate catabolism protein HpxZ	128	CWM56_RS00370
NZ_PIOL01000001.1	74196	74618		plus	GNAT family N-acetyltransferase			protein-coding			WP_100751091.1	GNAT family N-acetyltransferase	140	CWM56_RS00375
NZ_PIOL01000001.1	74656	75774		minus	aspartate-semialdehyde dehydrogenase	asd		protein-coding			WP_100750949.1	aspartate-semialdehyde dehydrogenase	372	CWM56_RS00380
NZ_PIOL01000001.1	75972	76103		plus	hypothetical protein			protein-coding			WP_162493317.1	hypothetical protein	43	CWM56_RS29915
NZ_PIOL01000001.1	76100	76657		plus	helix-turn-helix domain-containing protein			protein-coding			WP_070544587.1	helix-turn-helix domain-containing protein	185	CWM56_RS00385
NZ_PIOL01000001.1	76641	77684		plus	HlyD family secretion protein			protein-coding			WP_100750950.1	HlyD family secretion protein	347	CWM56_RS00390
NZ_PIOL01000001.1	77681	79243		plus	DHA2 family efflux MFS transporter permease subunit			protein-coding			WP_016161075.1	DHA2 family efflux MFS transporter permease subunit	520	CWM56_RS00395
NZ_PIOL01000001.1	79263	80537		plus	beta-ketoacyl-ACP synthase II	fabF		protein-coding			WP_100750951.1	beta-ketoacyl-ACP synthase II	424	CWM56_RS00400
NZ_PIOL01000001.1	80803	81117		plus	hypothetical protein			protein-coding			WP_004205818.1	hypothetical protein	104	CWM56_RS00405
NZ_PIOL01000001.1	81166	81780		minus	glutathione transferase GstA	gstA		protein-coding			WP_072124760.1	glutathione transferase GstA	204	CWM56_RS00410
NZ_PIOL01000001.1	81910	82785		plus	LysR family transcriptional regulator			protein-coding			WP_012968172.1	LysR family transcriptional regulator	291	CWM56_RS00415
NZ_PIOL01000001.1	82858	83691		minus	PRD domain-containing protein			protein-coding			WP_012541670.1	PRD domain-containing protein	277	CWM56_RS00420
NZ_PIOL01000001.1	83715	85175		minus	family 1 glycosylhydrolase			protein-coding			WP_039103553.1	family 1 glycosylhydrolase	486	CWM56_RS00425
NZ_PIOL01000001.1	85180	87048		minus	beta-glucoside-specific PTS transporter subunit IIABC			protein-coding			WP_100750952.1	beta-glucoside-specific PTS transporter subunit IIABC	622	CWM56_RS00430
NZ_PIOL01000001.1	87318	88913		minus	carbohydrate porin			protein-coding			WP_100750953.1	carbohydrate porin	531	CWM56_RS00435
NZ_PIOL01000001.1	89758	90249		minus	DMT family transporter			protein-coding			WP_064166519.1	DMT family transporter	163	CWM56_RS00440
NZ_PIOL01000001.1	90259	90693		minus	DMT family transporter			protein-coding			WP_004151877.1	DMT family transporter	144	CWM56_RS00445
