Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PION01000001.1	106	237		minus	RtT sRNA			ncRNA						CWM57_RS00005
NZ_PION01000001.1	281	365		minus	tRNA-Tyr			tRNA						CWM57_RS00010
NZ_PION01000001.1	405	537		minus	RtT sRNA			ncRNA						CWM57_RS00015
NZ_PION01000001.1	581	665		minus	tRNA-Tyr			tRNA						CWM57_RS00020
NZ_PION01000001.1	692	833		minus	RtT sRNA			ncRNA						CWM57_RS00025
NZ_PION01000001.1	1005	1847		minus	formyltetrahydrofolate deformylase	purU		protein-coding			WP_074385533.1	formyltetrahydrofolate deformylase	280	CWM57_RS00030
NZ_PION01000001.1	1890	2348		minus	YchJ family protein			protein-coding			WP_061154202.1	YchJ family protein	152	CWM57_RS00035
NZ_PION01000001.1	2461	3363		plus	patatin-like phospholipase RssA	rssA		protein-coding			WP_061154203.1	patatin-like phospholipase RssA	300	CWM57_RS00040
NZ_PION01000001.1	3453	4466		plus	two-component system response regulator RssB	rssB		protein-coding			WP_061154204.1	two-component system response regulator RssB	337	CWM57_RS00045
NZ_PION01000001.1	4664	5566		plus	UTP--glucose-1-phosphate uridylyltransferase GalU	galU		protein-coding			WP_061154205.1	UTP--glucose-1-phosphate uridylyltransferase GalU	300	CWM57_RS00050
NZ_PION01000001.1	5690	6097		minus	histone-like nucleoid-structuring protein H-NS	hns		protein-coding			WP_002910103.1	histone-like nucleoid-structuring protein H-NS	135	CWM57_RS00055
NZ_PION01000001.1	6519	6650		minus	hypothetical protein			protein-coding			WP_165784107.1	hypothetical protein	43	CWM57_RS27290
NZ_PION01000001.1	6658	7275		plus	thymidine kinase	tdk		protein-coding			WP_061156354.1	thymidine kinase	205	CWM57_RS00060
NZ_PION01000001.1	7413	10088		minus	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	adhE		protein-coding			WP_074385535.1	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	891	CWM57_RS00065
NZ_PION01000001.1	10166	10381		plus	hypothetical protein			protein-coding			WP_071839070.1	hypothetical protein	71	CWM57_RS00070
NZ_PION01000001.1	10565	11212		plus	YchE family NAAT transporter			protein-coding			WP_008804412.1	YchE family NAAT transporter	215	CWM57_RS00075
NZ_PION01000001.1	11960	13594		plus	oligopeptide ABC transporter substrate-binding protein OppA	oppA		protein-coding			WP_074385536.1	oligopeptide ABC transporter substrate-binding protein OppA	544	CWM57_RS00080
NZ_PION01000001.1	13680	14600		plus	oligopeptide ABC transporter permease OppB	oppB		protein-coding			WP_002910089.1	oligopeptide ABC transporter permease OppB	306	CWM57_RS00085
NZ_PION01000001.1	14615	15523		plus	oligopeptide ABC transporter permease OppC	oppC		protein-coding			WP_004145396.1	oligopeptide ABC transporter permease OppC	302	CWM57_RS00090
NZ_PION01000001.1	15535	16548		plus	ABC transporter ATP-binding protein			protein-coding			WP_004151853.1	ABC transporter ATP-binding protein	337	CWM57_RS00095
NZ_PION01000001.1	16545	17549		plus	murein tripeptide/oligopeptide ABC transporter ATP-binding protein OppF	oppF		protein-coding			WP_008804414.1	murein tripeptide/oligopeptide ABC transporter ATP-binding protein OppF	334	CWM57_RS00100
NZ_PION01000001.1	17606	18433		plus	ion transporter			protein-coding			WP_100675429.1	ion transporter	275	CWM57_RS00105
NZ_PION01000001.1	18497	18826		minus	HI1450 family dsDNA-mimic protein			protein-coding			WP_061154212.1	HI1450 family dsDNA-mimic protein	109	CWM57_RS00110
NZ_PION01000001.1	18861	20321		minus	cardiolipin synthase	cls		protein-coding			WP_008804416.1	cardiolipin synthase	486	CWM57_RS00115
NZ_PION01000001.1	20465	20638		plus	YciY family protein			protein-coding			WP_123235798.1	YciY family protein	57	CWM57_RS27110
NZ_PION01000001.1	21132	21743		minus	YceI family protein			protein-coding			WP_227520639.1	YceI family protein	203	CWM57_RS00120
NZ_PION01000001.1	22496	24925		plus	glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase			protein-coding			WP_074385539.1	glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase	809	CWM57_RS00125
NZ_PION01000001.1	25196	25492		minus	YciI family protein			protein-coding			WP_008804420.1	YciI family protein	98	CWM57_RS00130
NZ_PION01000001.1	25703	26455		plus	TonB system transport protein TonB	tonB		protein-coding			WP_100675430.1	TonB system transport protein TonB	250	CWM57_RS00135
NZ_PION01000001.1	26499	27371		minus	fructosamine kinase family protein			protein-coding			WP_061154217.1	fructosamine kinase family protein	290	CWM57_RS00140
NZ_PION01000001.1	27477	27761		minus	type V toxin-antitoxin system endoribonuclease antitoxin GhoS	ghoS		protein-coding			WP_100630680.1	type V toxin-antitoxin system endoribonuclease antitoxin GhoS	94	CWM57_RS00145
NZ_PION01000001.1	27854	28786		minus	6-phosphofructokinase II	pfkB		protein-coding			WP_074385542.1	6-phosphofructokinase II	310	CWM57_RS00150
NZ_PION01000001.1	29141	29899		plus	YdiY family protein			protein-coding			WP_061154219.1	YdiY family protein	252	CWM57_RS00155
NZ_PION01000001.1	30170	30403		plus	hypothetical protein			protein-coding			WP_061154220.1	hypothetical protein	77	CWM57_RS00160
NZ_PION01000001.1	30836	32764		plus	threonine--tRNA ligase	thrS		protein-coding			WP_074385544.1	threonine--tRNA ligase	642	CWM57_RS00170
NZ_PION01000001.1	32768	33310		plus	translation initiation factor IF-3	infC		protein-coding			WP_012967832.1	translation initiation factor IF-3	180	CWM57_RS00175
NZ_PION01000001.1	33407	33604		plus	50S ribosomal protein L35	rpmI		protein-coding			WP_001124225.1	50S ribosomal protein L35	65	CWM57_RS00180
