Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIOJ01000001.1	163	390		plus	uncharacterized gene			pseudogene						CWM62_RS00005
NZ_PIOJ01000001.1	528	953		plus	uncharacterized gene			pseudogene						CWM62_RS29015
NZ_PIOJ01000001.1	1250	1516		plus	PAAR domain-containing protein			protein-coding			WP_004175522.1	PAAR domain-containing protein	88	CWM62_RS00015
NZ_PIOJ01000001.1	1520	2677		plus	type VI secretion protein			protein-coding			WP_100680549.1	type VI secretion protein	385	CWM62_RS00020
NZ_PIOJ01000001.1	2661	6071		plus	ImcF-related family protein			protein-coding			WP_100696708.1	ImcF-related family protein	1136	CWM62_RS00025
NZ_PIOJ01000001.1	6206	7969		plus	type VI secretion system baseplate subunit TssF	tssF		protein-coding			WP_100696706.1	type VI secretion system baseplate subunit TssF	587	CWM62_RS00030
NZ_PIOJ01000001.1	7999	9015		plus	type VI secretion system baseplate subunit TssG	tssG		protein-coding			WP_165785726.1	type VI secretion system baseplate subunit TssG	338	CWM62_RS00035
NZ_PIOJ01000001.1	8996	9532		plus	type VI secretion system lipoprotein TssJ	tssJ		protein-coding			WP_100680583.1	type VI secretion system lipoprotein TssJ	178	CWM62_RS00040
NZ_PIOJ01000001.1	9535	9978		plus	type VI secretion system baseplate subunit TssE	tssE		protein-coding			WP_004152261.1	type VI secretion system baseplate subunit TssE	147	CWM62_RS00045
NZ_PIOJ01000001.1	9998	11400		plus	uncharacterized gene			pseudogene						CWM62_RS00050
NZ_PIOJ01000001.1	11532	12446		plus	sugar ABC transporter substrate-binding protein			protein-coding			WP_032730670.1	sugar ABC transporter substrate-binding protein	304	CWM62_RS00055
NZ_PIOJ01000001.1	12530	12859		plus	DUF1869 domain-containing protein			protein-coding			WP_100680544.1	DUF1869 domain-containing protein	109	CWM62_RS00060
NZ_PIOJ01000001.1	12941	14035		minus	redox-regulated ATPase YchF	ychF		protein-coding			WP_008804380.1	redox-regulated ATPase YchF	364	CWM62_RS00065
NZ_PIOJ01000001.1	14153	14737		minus	aminoacyl-tRNA hydrolase	pth		protein-coding			WP_004180389.1	aminoacyl-tRNA hydrolase	194	CWM62_RS00070
NZ_PIOJ01000001.1	15010	15285		plus	stress-induced protein YchH	ychH		protein-coding			WP_002910437.1	stress-induced protein YchH	91	CWM62_RS00075
NZ_PIOJ01000001.1	15501	17180		minus	C4-dicarboxylic acid transporter DauA	dauA		protein-coding			WP_071787626.1	C4-dicarboxylic acid transporter DauA	559	CWM62_RS00080
NZ_PIOJ01000001.1	17431	18378		minus	ribose-phosphate diphosphokinase	prs		protein-coding			WP_002910407.1	ribose-phosphate diphosphokinase	315	CWM62_RS00085
NZ_PIOJ01000001.1	18562	19410		minus	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE		protein-coding			WP_165785724.1	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	282	CWM62_RS00095
NZ_PIOJ01000001.1	19410	20021		minus	lipoprotein insertase outer membrane protein LolB	lolB		protein-coding			WP_061154183.1	lipoprotein insertase outer membrane protein LolB	203	CWM62_RS00100
NZ_PIOJ01000001.1	20293	21549		plus	glutamyl-tRNA reductase	hemA		protein-coding			WP_008804386.1	glutamyl-tRNA reductase	418	CWM62_RS00105
NZ_PIOJ01000001.1	21592	22674		plus	peptide chain release factor 1	prfA		protein-coding			WP_061154184.1	peptide chain release factor 1	360	CWM62_RS00110
NZ_PIOJ01000001.1	22674	23522		plus	peptide chain release factor N(5)-glutamine methyltransferase	prmC		protein-coding			WP_100696704.1	peptide chain release factor N(5)-glutamine methyltransferase	282	CWM62_RS00115
NZ_PIOJ01000001.1	23522	23914		plus	invasion regulator SirB2	sirB2		protein-coding			WP_008804389.1	invasion regulator SirB2	130	CWM62_RS00120
NZ_PIOJ01000001.1	23918	24730		plus	invasion regulator SirB1	sirB1		protein-coding			WP_074385519.1	invasion regulator SirB1	270	CWM62_RS00125
NZ_PIOJ01000001.1	24770	25624		plus	3-deoxy-8-phosphooctulonate synthase	kdsA		protein-coding			WP_100680541.1	3-deoxy-8-phosphooctulonate synthase	284	CWM62_RS00130
NZ_PIOJ01000001.1	25711	26811		minus	sodium-potassium/proton antiporter ChaA	chaA		protein-coding			WP_061154188.1	sodium-potassium/proton antiporter ChaA	366	CWM62_RS00135
