Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIOK01000001.1	1	125		plus	uncharacterized gene			pseudogene						CWM54_RS29115
NZ_PIOK01000001.1	161	913		minus	2,3-diphosphoglycerate-dependent phosphoglycerate mutase	gpmA		protein-coding			WP_002895089.1	2,3-diphosphoglycerate-dependent phosphoglycerate mutase	250	CWM54_RS00005
NZ_PIOK01000001.1	1204	2247		minus	galactose-1-epimerase	galM		protein-coding			WP_100695587.1	galactose-1-epimerase	347	CWM54_RS00010
NZ_PIOK01000001.1	2241	3389		minus	galactokinase	galK		protein-coding			WP_032701039.1	galactokinase	382	CWM54_RS00015
NZ_PIOK01000001.1	3392	4438		minus	galactose-1-phosphate uridylyltransferase	galT		protein-coding			WP_100695589.1	galactose-1-phosphate uridylyltransferase	348	CWM54_RS00020
NZ_PIOK01000001.1	4448	5464		minus	UDP-glucose 4-epimerase GalE	galE		protein-coding			WP_022065235.1	UDP-glucose 4-epimerase GalE	338	CWM54_RS00025
NZ_PIOK01000001.1	5674	7146		minus	molybdate ABC transporter ATP-binding protein ModF	modF		protein-coding			WP_012542418.1	molybdate ABC transporter ATP-binding protein ModF	490	CWM54_RS29035
NZ_PIOK01000001.1	7214	8002		minus	molybdenum-dependent transcriptional regulator	modE		protein-coding			WP_100631696.1	molybdenum-dependent transcriptional regulator	262	CWM54_RS00035
NZ_PIOK01000001.1	8156	8305		plus	AcrZ family multidrug efflux pump-associated protein			protein-coding			WP_064774530.1	AcrZ family multidrug efflux pump-associated protein	49	CWM54_RS00040
NZ_PIOK01000001.1	8448	9221		plus	molybdate ABC transporter substrate-binding protein	modA		protein-coding			WP_100695591.1	molybdate ABC transporter substrate-binding protein	257	CWM54_RS00045
NZ_PIOK01000001.1	9221	9910		plus	molybdate ABC transporter permease subunit	modB		protein-coding			WP_002895159.1	molybdate ABC transporter permease subunit	229	CWM54_RS00050
NZ_PIOK01000001.1	9913	10971		plus	molybdenum ABC transporter ATP-binding protein ModC	modC		protein-coding			WP_100696870.1	molybdenum ABC transporter ATP-binding protein ModC	352	CWM54_RS00055
NZ_PIOK01000001.1	10972	11790		minus	pyridoxal phosphatase			protein-coding			WP_100681485.1	pyridoxal phosphatase	272	CWM54_RS00060
NZ_PIOK01000001.1	12019	13014		plus	6-phosphogluconolactonase	pgl		protein-coding			WP_100695593.1	6-phosphogluconolactonase	331	CWM54_RS00065
NZ_PIOK01000001.1	13126	13392		minus	biofilm development regulator YmgB/AriR family protein			protein-coding			WP_012542414.1	biofilm development regulator YmgB/AriR family protein	88	CWM54_RS00070
NZ_PIOK01000001.1	13444	13749		minus	hypothetical protein			protein-coding			WP_008805712.1	hypothetical protein	101	CWM54_RS29040
NZ_PIOK01000001.1	13875	14120		minus	regulatory protein YcgZ	ycgZ		protein-coding			WP_012542413.1	regulatory protein YcgZ	81	CWM54_RS00080
