Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP065688.1	32	919		minus	UTP--glucose-1-phosphate uridylyltransferase GalU	galU		protein-coding			WP_063199883.1	UTP--glucose-1-phosphate uridylyltransferase GalU	295	I6G52_RS00005
NZ_CP065688.1	1422	2444		minus	UDP-glucose 4-epimerase GalE	galE		protein-coding			WP_063199886.1	UDP-glucose 4-epimerase GalE	340	I6G52_RS00010
NZ_CP065688.1	2567	3934		minus	phosphomannomutase CpsG	cpsG		protein-coding			WP_063199889.1	phosphomannomutase CpsG	455	I6G52_RS00015
NZ_CP065688.1	3950	5374		minus	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase			protein-coding			WP_063199892.1	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	474	I6G52_RS00020
NZ_CP065688.1	5662	7038		minus	TolC family outer membrane protein			protein-coding			WP_063199894.1	TolC family outer membrane protein	458	I6G52_RS00025
NZ_CP065688.1	7041	8372		minus	HlyD family type I secretion periplasmic adaptor subunit			protein-coding			WP_063199897.1	HlyD family type I secretion periplasmic adaptor subunit	443	I6G52_RS00030
NZ_CP065688.1	8429	10195		minus	type I secretion system permease/ATPase			protein-coding			WP_004942413.1	type I secretion system permease/ATPase	588	I6G52_RS00035
NZ_CP065688.1	10580	13558		minus	DUF4214 domain-containing protein			protein-coding			WP_063199900.1	DUF4214 domain-containing protein	992	I6G52_RS00040
NZ_CP065688.1	14379	16394		minus	right-handed parallel beta-helix repeat-containing protein			protein-coding			WP_081113155.1	right-handed parallel beta-helix repeat-containing protein	671	I6G52_RS00045
NZ_CP065688.1	16446	17879		minus	undecaprenyl-phosphate galactose phosphotransferase WbaP	wbaP		protein-coding			WP_062870294.1	undecaprenyl-phosphate galactose phosphotransferase WbaP	477	I6G52_RS00050
NZ_CP065688.1	18100	19191		minus	glycosyltransferase			protein-coding			WP_063199907.1	glycosyltransferase	363	I6G52_RS00055
NZ_CP065688.1	19192	20268		minus	glycosyltransferase family 1 protein			protein-coding			WP_063199911.1	glycosyltransferase family 1 protein	358	I6G52_RS00060
NZ_CP065688.1	20305	21711		minus	hypothetical protein			protein-coding			WP_063199915.1	hypothetical protein	468	I6G52_RS00065
NZ_CP065688.1	21780	22928		minus	glycosyltransferase family 4 protein			protein-coding			WP_063199919.1	glycosyltransferase family 4 protein	382	I6G52_RS00070
NZ_CP065688.1	22939	24294		minus	oligosaccharide flippase family protein			protein-coding			WP_062870285.1	oligosaccharide flippase family protein	451	I6G52_RS00075
NZ_CP065688.1	24287	25507		minus	glycosyltransferase			protein-coding			WP_062870282.1	glycosyltransferase	406	I6G52_RS00080
NZ_CP065688.1	25509	26777		minus	colanic acid biosynthesis pyruvyl transferase WcaK	wcaK		protein-coding			WP_063199922.1	colanic acid biosynthesis pyruvyl transferase WcaK	422	I6G52_RS00085
NZ_CP065688.1	26871	29045		minus	tyrosine-protein kinase Wzc	wzc		protein-coding			WP_062870278.1	tyrosine-protein kinase Wzc	724	I6G52_RS00090
NZ_CP065688.1	29058	29492		minus	protein tyrosine phosphatase			protein-coding			WP_062870276.1	protein tyrosine phosphatase	144	I6G52_RS00095
NZ_CP065688.1	29502	30638		minus	polysaccharide export protein			protein-coding			WP_062870274.1	polysaccharide export protein	378	I6G52_RS00100
NZ_CP065688.1	31088	31981		minus	sugar phosphate nucleotidyltransferase			protein-coding			WP_006324405.1	sugar phosphate nucleotidyltransferase	297	I6G52_RS00105
NZ_CP065688.1	32022	32921		minus	UTP--glucose-1-phosphate uridylyltransferase GalU	galU		protein-coding			WP_062870272.1	UTP--glucose-1-phosphate uridylyltransferase GalU	299	I6G52_RS00110
NZ_CP065688.1	33596	35182		plus	TerC family protein			protein-coding			WP_063199925.1	TerC family protein	528	I6G52_RS00115
NZ_CP065688.1	35211	36569		minus	anaerobic C4-dicarboxylate transporter DcuC	dcuC		protein-coding			WP_063199928.1	anaerobic C4-dicarboxylate transporter DcuC	452	I6G52_RS00120
NZ_CP065688.1	36762	38594		minus	outer membrane assembly protein AsmA	asmA		protein-coding			WP_063199931.1	outer membrane assembly protein AsmA	610	I6G52_RS00125
NZ_CP065688.1	38639	39220		minus	dCTP deaminase	dcd		protein-coding			WP_004942378.1	dCTP deaminase	193	I6G52_RS00130
NZ_CP065688.1	39347	39988		minus	uridine kinase	udk		protein-coding			WP_004942376.1	uridine kinase	213	I6G52_RS00135
NZ_CP065688.1	40232	40861		plus	phosphatase PAP2 family protein			protein-coding			WP_063199934.1	phosphatase PAP2 family protein	209	I6G52_RS00140
NZ_CP065688.1	40911	42023		minus	iron-sulfur cluster carrier protein ApbC	apbC		protein-coding			WP_004942372.1	iron-sulfur cluster carrier protein ApbC	370	I6G52_RS00145
NZ_CP065688.1	42184	44211		plus	methionine--tRNA ligase	metG		protein-coding			WP_041416842.1	methionine--tRNA ligase	675	I6G52_RS00150
NZ_CP065688.1	44416	45492		plus	sugar ABC transporter substrate-binding protein			protein-coding			WP_063199937.1	sugar ABC transporter substrate-binding protein	358	I6G52_RS00155
NZ_CP065688.1	45675	46901		plus	MFS transporter			protein-coding			WP_063199940.1	MFS transporter	408	I6G52_RS00160
NZ_CP065688.1	47040	47447		plus	CidA/LrgA family protein			protein-coding			WP_006324397.1	CidA/LrgA family protein	135	I6G52_RS00165
NZ_CP065688.1	47444	48139		plus	CidB/LrgB family autolysis modulator			protein-coding			WP_063199943.1	CidB/LrgB family autolysis modulator	231	I6G52_RS00170
NZ_CP065688.1	48277	49161		plus	cytidine deaminase	cdd		protein-coding			WP_063199946.1	cytidine deaminase	294	I6G52_RS00175
NZ_CP065688.1	49383	51080		plus	NAD-dependent malic enzyme			protein-coding			WP_004942358.1	NAD-dependent malic enzyme	565	I6G52_RS00180
NZ_CP065688.1	51250	51987		plus	outer membrane permeability protein SanA	sanA		protein-coding			WP_063199949.1	outer membrane permeability protein SanA	245	I6G52_RS00185
NZ_CP065688.1	52309	53319		minus	galactose/methyl galactoside ABC transporter permease MglC	mglC		protein-coding			WP_006322189.1	galactose/methyl galactoside ABC transporter permease MglC	336	I6G52_RS00190
NZ_CP065688.1	53331	54839		minus	galactose/methyl galactoside ABC transporter ATP-binding protein MglA	mglA		protein-coding			WP_013812179.1	galactose/methyl galactoside ABC transporter ATP-binding protein MglA	502	I6G52_RS00195
