Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PIBL01000001.1	1	209		plus	hypothetical protein			protein-coding			WP_206056613.1	hypothetical protein	68	CWM58_RS28990
NZ_PIBL01000001.1	127	468		plus	hypothetical protein			protein-coding			WP_100679896.1	hypothetical protein	113	CWM58_RS29095
NZ_PIBL01000001.1	677	1042		plus	hypothetical protein			protein-coding			WP_086512199.1	hypothetical protein	121	CWM58_RS00015
NZ_PIBL01000001.1	1844	2068		plus	DNA gyrase subunit B			protein-coding			WP_225372771.1	DNA gyrase subunit B	74	CWM58_RS00025
NZ_PIBL01000001.1	2212	2574		plus	HNH endonuclease signature motif containing protein			protein-coding			WP_032440987.1	HNH endonuclease signature motif containing protein	120	CWM58_RS00030
NZ_PIBL01000001.1	2526	2849		plus	hypothetical protein			protein-coding			WP_086512200.1	hypothetical protein	107	CWM58_RS00035
NZ_PIBL01000001.1	2846	3277		plus	hypothetical protein			protein-coding			WP_077269189.1	hypothetical protein	143	CWM58_RS00040
NZ_PIBL01000001.1	3526	3960		plus	phage terminase small subunit P27 family			protein-coding			WP_012542168.1	phage terminase small subunit P27 family	144	CWM58_RS00045
NZ_PIBL01000001.1	3960	5681		plus	terminase TerL endonuclease subunit			protein-coding			WP_100679898.1	terminase TerL endonuclease subunit	573	CWM58_RS00050
NZ_PIBL01000001.1	5675	5854		plus	hypothetical protein			protein-coding			WP_017898992.1	hypothetical protein	59	CWM58_RS00055
NZ_PIBL01000001.1	5854	7113		plus	phage portal protein			protein-coding			WP_023279520.1	phage portal protein	419	CWM58_RS00060
NZ_PIBL01000001.1	7150	8070		plus	S49 family peptidase			protein-coding			WP_080895675.1	S49 family peptidase	306	CWM58_RS00065
NZ_PIBL01000001.1	8148	9434		plus	phage major capsid protein			protein-coding			WP_014228907.1	phage major capsid protein	428	CWM58_RS00070
NZ_PIBL01000001.1	9493	9753		plus	hypothetical protein			protein-coding			WP_100679899.1	hypothetical protein	86	CWM58_RS00075
NZ_PIBL01000001.1	9734	10051		plus	head-tail connector protein			protein-coding			WP_023339902.1	head-tail connector protein	105	CWM58_RS00080
NZ_PIBL01000001.1	10048	10386		plus	head-tail adaptor protein			protein-coding			WP_100679900.1	head-tail adaptor protein	112	CWM58_RS00085
NZ_PIBL01000001.1	10367	10756		plus	hypothetical protein			protein-coding			WP_017880258.1	hypothetical protein	129	CWM58_RS00090
NZ_PIBL01000001.1	10753	11154		plus	HK97-gp10 family putative phage morphogenesis protein			protein-coding			WP_017898997.1	HK97-gp10 family putative phage morphogenesis protein	133	CWM58_RS00095
NZ_PIBL01000001.1	11186	11647		plus	hypothetical protein			protein-coding			WP_023328090.1	hypothetical protein	153	CWM58_RS00100
NZ_PIBL01000001.1	11705	12070		plus	phage tail protein			protein-coding			WP_014228914.1	phage tail protein	121	CWM58_RS00105
NZ_PIBL01000001.1	12303	15638		plus	phage tail tape measure protein			protein-coding			WP_100679901.1	phage tail tape measure protein	1111	CWM58_RS00115
NZ_PIBL01000001.1	15638	15976		plus	phage tail protein			protein-coding			WP_017898999.1	phage tail protein	112	CWM58_RS00120
NZ_PIBL01000001.1	15973	16728		plus	phage minor tail protein L			protein-coding			WP_023289191.1	phage minor tail protein L	251	CWM58_RS00125
NZ_PIBL01000001.1	16730	17440		plus	C40 family peptidase			protein-coding			WP_032439857.1	C40 family peptidase	236	CWM58_RS00130
NZ_PIBL01000001.1	17482	17904		plus	hypothetical protein			protein-coding			WP_033128545.1	hypothetical protein	140	CWM58_RS00135
NZ_PIBL01000001.1	17931	18524		plus	tail assembly protein			protein-coding			WP_032439859.1	tail assembly protein	197	CWM58_RS00140
NZ_PIBL01000001.1	18587	31174		plus	carbohydrate binding domain-containing protein			protein-coding			WP_100679902.1	carbohydrate binding domain-containing protein	4195	CWM58_RS00145
NZ_PIBL01000001.1	31236	32645		plus	tail fiber domain-containing protein			protein-coding			WP_044522218.1	tail fiber domain-containing protein	469	CWM58_RS00150
NZ_PIBL01000001.1	33068	34126		plus	diguanylate cyclase			protein-coding			WP_023322373.1	diguanylate cyclase	352	CWM58_RS00155
NZ_PIBL01000001.1	34482	35174		plus	EAL domain-containing protein			protein-coding			WP_100679903.1	EAL domain-containing protein	230	CWM58_RS00160
NZ_PIBL01000001.1	35180	35503		plus	hypothetical protein			protein-coding			WP_123806412.1	hypothetical protein	107	CWM58_RS28015
NZ_PIBL01000001.1	35821	35988		plus	uncharacterized gene			pseudogene						CWM58_RS00170
NZ_PIBL01000001.1	36263	36484		minus	YnfU family zinc-binding protein			protein-coding			WP_319823385.1	YnfU family zinc-binding protein	73	CWM58_RS29105
NZ_PIBL01000001.1	36665	37453		minus	arylamine N-acetyltransferase			protein-coding			WP_061155036.1	arylamine N-acetyltransferase	262	CWM58_RS00180
NZ_PIBL01000001.1	37552	38985		plus	PLP-dependent aminotransferase family protein			protein-coding			WP_061155035.1	PLP-dependent aminotransferase family protein	477	CWM58_RS00185
NZ_PIBL01000001.1	39408	39848		plus	GNAT family N-acetyltransferase			protein-coding			WP_061155034.1	GNAT family N-acetyltransferase	146	CWM58_RS00190
NZ_PIBL01000001.1	39994	40707		minus	winged helix-turn-helix domain-containing protein			protein-coding			WP_100679904.1	winged helix-turn-helix domain-containing protein	237	CWM58_RS00195
NZ_PIBL01000001.1	40704	41096		minus	amino acid-binding protein			protein-coding			WP_100679905.1	amino acid-binding protein	130	CWM58_RS00200
NZ_PIBL01000001.1	41089	41412		minus	antibiotic biosynthesis monooxygenase			protein-coding			WP_012542151.1	antibiotic biosynthesis monooxygenase	107	CWM58_RS00205
NZ_PIBL01000001.1	41549	42022		minus	OsmC family protein			protein-coding			WP_100679906.1	OsmC family protein	157	CWM58_RS00210
NZ_PIBL01000001.1	42194	42835		plus	GntR family transcriptional regulator			protein-coding			WP_100679907.1	GntR family transcriptional regulator	213	CWM58_RS00215
NZ_PIBL01000001.1	43126	43671		plus	cysteine hydrolase family protein			protein-coding			WP_100679908.1	cysteine hydrolase family protein	181	CWM58_RS00220
NZ_PIBL01000001.1	43726	43953		minus	DUF1272 domain-containing protein			protein-coding			WP_012542149.1	DUF1272 domain-containing protein	75	CWM58_RS00225
NZ_PIBL01000001.1	44061	45254		minus	zinc-dependent alcohol dehydrogenase			protein-coding			WP_074386279.1	zinc-dependent alcohol dehydrogenase	397	CWM58_RS00230
NZ_PIBL01000001.1	45863	46048		plus	general stress protein			protein-coding			WP_004150795.1	general stress protein	61	CWM58_RS00235
NZ_PIBL01000001.1	46138	46632		plus	ferritin-like domain-containing protein			protein-coding			WP_100679909.1	ferritin-like domain-containing protein	164	CWM58_RS00240
NZ_PIBL01000001.1	46659	47165		plus	ferritin-like domain-containing protein			protein-coding			WP_061155027.1	ferritin-like domain-containing protein	168	CWM58_RS00245
NZ_PIBL01000001.1	47182	48069		plus	manganese catalase family protein			protein-coding			WP_100679910.1	manganese catalase family protein	295	CWM58_RS00250
NZ_PIBL01000001.1	48125	49531		plus	cytochrome ubiquinol oxidase subunit I			protein-coding			WP_061155025.1	cytochrome ubiquinol oxidase subunit I	468	CWM58_RS00255
NZ_PIBL01000001.1	49528	50538		plus	cytochrome d ubiquinol oxidase subunit II	cydB		protein-coding			WP_100679911.1	cytochrome d ubiquinol oxidase subunit II	336	CWM58_RS00260
NZ_PIBL01000001.1	50532	51452		minus	HlyD family secretion protein			protein-coding			WP_100679912.1	HlyD family secretion protein	306	CWM58_RS00265
NZ_PIBL01000001.1	51449	51661		minus	DUF1656 domain-containing protein			protein-coding			WP_100679913.1	DUF1656 domain-containing protein	70	CWM58_RS00270
NZ_PIBL01000001.1	51654	53705		minus	FUSC family protein			protein-coding			WP_100679914.1	FUSC family protein	683	CWM58_RS00275
NZ_PIBL01000001.1	53783	54577		plus	helix-turn-helix transcriptional regulator			protein-coding			WP_100679915.1	helix-turn-helix transcriptional regulator	264	CWM58_RS00280
NZ_PIBL01000001.1	54637	54834		minus	hypothetical protein			protein-coding			WP_061155019.1	hypothetical protein	65	CWM58_RS00285
NZ_PIBL01000001.1	55408	56040		plus	DNA-binding protein			protein-coding			WP_100679916.1	DNA-binding protein	210	CWM58_RS00290
NZ_PIBL01000001.1	56019	56207		minus	hypothetical protein			protein-coding			WP_133122399.1	hypothetical protein	62	CWM58_RS28020
NZ_PIBL01000001.1	56674	57360		plus	EAL domain-containing protein			protein-coding			WP_061155017.1	EAL domain-containing protein	228	CWM58_RS00295
NZ_PIBL01000001.1	57490	57900		plus	Spy/CpxP family protein refolding chaperone			protein-coding			WP_100679917.1	Spy/CpxP family protein refolding chaperone	136	CWM58_RS00300
