Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NC_007795.1	517	1878		plus	chromosomal replication initiation protein	dnaA	3919798	protein-coding			YP_498609.1	chromosomal replication initiation protein	453	SAOUHSC_00001
NC_007795.1	2156	3289		plus	DNA polymerase III subunit beta		3919799	protein-coding			YP_498610.1	DNA polymerase III subunit beta	377	SAOUHSC_00002
NC_007795.1	3670	3915		plus	hypothetical protein		3919176	protein-coding			YP_498611.1	hypothetical protein	81	SAOUHSC_00003
NC_007795.1	3912	5024		plus	recombination protein F	recF	3919177	protein-coding			YP_498612.1	recombination protein F	370	SAOUHSC_00004
NC_007795.1	5034	6968		plus	DNA gyrase subunit B		3919178	protein-coding			YP_498613.1	DNA gyrase subunit B	644	SAOUHSC_00005
NC_007795.1	7005	9668		plus	DNA gyrase subunit A		3919179	protein-coding			YP_498614.1	DNA gyrase subunit A	887	SAOUHSC_00006
NC_007795.1	9755	10456		minus	hypothetical protein		3919180	protein-coding			YP_498615.1	hypothetical protein	233	SAOUHSC_00007
NC_007795.1	10893	12407		plus	histidine ammonia-lyase		3919181	protein-coding			YP_498616.1	histidine ammonia-lyase	504	SAOUHSC_00008
NC_007795.1	12786	14072		plus	seryl-tRNA synthetase		3919182	protein-coding			YP_498617.1	seryl-tRNA synthetase	428	SAOUHSC_00009
NC_007795.1	14722	15417		plus	hypothetical protein		3919183	protein-coding			YP_498618.1	hypothetical protein	231	SAOUHSC_00010
NC_007795.1	15414	15743		plus	hypothetical protein		3919184	protein-coding			YP_498619.1	hypothetical protein	109	SAOUHSC_00012
NC_007795.1	16106	17074		plus	hypothetical protein		3919185	protein-coding			YP_498620.1	hypothetical protein	322	SAOUHSC_00013
NC_007795.1	17365	18303		plus	hypothetical protein		3919186	protein-coding			YP_498621.1	hypothetical protein	312	SAOUHSC_00014
NC_007795.1	18318	20285		plus	hypothetical protein		3919187	protein-coding			YP_498622.1	hypothetical protein	655	SAOUHSC_00015
NC_007795.1	20282	20734		plus	50S ribosomal protein L9	rplI	3919188	protein-coding			YP_498623.1	50S ribosomal protein L9	150	SAOUHSC_00017
NC_007795.1	20766	22166		plus	replicative DNA helicase		3919189	protein-coding			YP_498624.1	replicative DNA helicase	466	SAOUHSC_00018
NC_007795.1	22444	23727		plus	adenylosuccinate synthetase		3919190	protein-coding			YP_498625.1	adenylosuccinate synthetase	427	SAOUHSC_00019
NC_007795.1	24157	24231		plus	tRNA-Glu		3921337	tRNA						SAOUHSC_T00018
NC_007795.1	24239	24311		plus	tRNA-Asp		3921330	tRNA						SAOUHSC_T00011
NC_007795.1	24931	25632		plus	two-component response regulator		3919191	protein-coding			YP_498626.1	two-component response regulator	233	SAOUHSC_00020
NC_007795.1	25645	27471		plus	sensory box histidine kinase VicK		3919192	protein-coding			YP_498627.1	sensory box histidine kinase VicK	608	SAOUHSC_00021
NC_007795.1	27515	28798		plus	hypothetical protein		3919193	protein-coding			YP_498628.1	hypothetical protein	427	SAOUHSC_00022
