Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_PJDK01000001.1	1	122		plus	uncharacterized gene			pseudogene						CW267_RS00005
NZ_PJDK01000001.1	388	906		minus	GNAT family N-acetyltransferase			protein-coding			WP_032735827.1	GNAT family N-acetyltransferase	172	CW267_RS00010
NZ_PJDK01000001.1	932	1393		minus	GNAT family N-acetyltransferase			protein-coding			WP_023322784.1	GNAT family N-acetyltransferase	153	CW267_RS00015
NZ_PJDK01000001.1	1456	2058		minus	helix-turn-helix transcriptional regulator			protein-coding			WP_004175741.1	helix-turn-helix transcriptional regulator	200	CW267_RS00020
NZ_PJDK01000001.1	2102	2797		plus	B3/4 domain-containing protein			protein-coding			WP_012967971.1	B3/4 domain-containing protein	231	CW267_RS00025
NZ_PJDK01000001.1	2830	3291		plus	uncharacterized gene			pseudogene						CW267_RS00030
NZ_PJDK01000001.1	3529	3891		plus	TonB family protein			protein-coding			WP_023318491.1	TonB family protein	120	CW267_RS00035
NZ_PJDK01000001.1	4070	5107		plus	LD-carboxypeptidase			protein-coding			WP_100780927.1	LD-carboxypeptidase	345	CW267_RS00040
NZ_PJDK01000001.1	5344	6277		plus	uncharacterized gene			pseudogene						CW267_RS00045
NZ_PJDK01000001.1	6274	7335		minus	HAMP domain-containing histidine kinase CrrB	ccrB		protein-coding			WP_100780926.1	HAMP domain-containing histidine kinase CrrB	353	CW267_RS00050
NZ_PJDK01000001.1	7332	8036		minus	response regulator			protein-coding			WP_004151175.1	response regulator	234	CW267_RS00055
NZ_PJDK01000001.1	8319	8708		plus	hypothetical protein			protein-coding			WP_046620353.1	hypothetical protein	129	CW267_RS00060
NZ_PJDK01000001.1	8938	9822		plus	ABC transporter six-transmembrane domain-containing protein			protein-coding			WP_004151176.1	ABC transporter six-transmembrane domain-containing protein	294	CW267_RS00070
