Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP053398.1	410	2436		plus	uncharacterized gene			pseudogene						HL670_RS00010
NZ_CP053398.1	2465	3222		minus	uncharacterized gene			pseudogene						HL670_RS00015
NZ_CP053398.1	3323	4638		minus	uncharacterized gene			pseudogene						HL670_RS00020
NZ_CP053398.1	4966	5983		minus	uncharacterized gene	yhjD		pseudogene						HL670_RS00025
NZ_CP053398.1	6144	6353		minus	hypothetical protein			protein-coding			WP_006328760.1	hypothetical protein	69	HL670_RS00030
NZ_CP053398.1	6448	7267		plus	uncharacterized gene			pseudogene						HL670_RS00035
NZ_CP053398.1	7264	7659		minus	EAL domain-containing protein			protein-coding			WP_252978562.1	EAL domain-containing protein	131	HL670_RS26595
NZ_CP053398.1	7592	9268		minus	cyclic di-GMP phosphodiesterase	pdeR		protein-coding			WP_252978563.1	cyclic di-GMP phosphodiesterase	558	HL670_RS00040
NZ_CP053398.1	9824	10320		plus	uncharacterized gene	spy		pseudogene						HL670_RS00045
NZ_CP053398.1	10449	11280		minus	uncharacterized gene			pseudogene						HL670_RS00050
NZ_CP053398.1	11293	12508		minus	uncharacterized gene			pseudogene						HL670_RS00055
NZ_CP053398.1	12824	13458		plus	uncharacterized gene			pseudogene						HL670_RS00060
NZ_CP053398.1	13861	16947		plus	uncharacterized gene			pseudogene						HL670_RS00065
NZ_CP053398.1	17017	17274		plus	hypothetical protein			protein-coding			WP_252978564.1	hypothetical protein	85	HL670_RS26600
NZ_CP053398.1	17489	18477		plus	uncharacterized gene			pseudogene						HL670_RS26605
NZ_CP053398.1	18441	20102		plus	autotransporter outer membrane beta-barrel domain-containing protein			protein-coding			WP_252978565.1	autotransporter outer membrane beta-barrel domain-containing protein	553	HL670_RS26610
NZ_CP053398.1	20577	21425		plus	helix-turn-helix domain-containing protein			protein-coding			WP_171407009.1	helix-turn-helix domain-containing protein	282	HL670_RS00075
NZ_CP053398.1	21415	23199		minus	ATP-binding protein			protein-coding			WP_004951655.1	ATP-binding protein	594	HL670_RS00080
NZ_CP053398.1	23196	23384		minus	hypothetical protein			protein-coding			WP_252978566.1	hypothetical protein	62	HL670_RS26615
NZ_CP053398.1	23417	23689		minus	hypothetical protein			protein-coding			WP_252978567.1	hypothetical protein	90	HL670_RS26620
NZ_CP053398.1	23851	24498		minus	hypothetical protein			protein-coding			WP_062789753.1	hypothetical protein	215	HL670_RS00090
NZ_CP053398.1	24572	25336		plus	helix-turn-helix transcriptional regulator			protein-coding			WP_071990129.1	helix-turn-helix transcriptional regulator	254	HL670_RS00095
NZ_CP053398.1	25465	26037		plus	DinB family protein			protein-coding			WP_004951642.1	DinB family protein	190	HL670_RS00100
NZ_CP053398.1	26115	27767		minus	ShlB/FhaC/HecB family hemolysin secretion/activation protein			protein-coding			WP_062789757.1	ShlB/FhaC/HecB family hemolysin secretion/activation protein	550	HL670_RS00105
NZ_CP053398.1	27826	29112		minus	filamentous hemagglutinin N-terminal domain-containing protein			protein-coding			WP_062789759.1	filamentous hemagglutinin N-terminal domain-containing protein	428	HL670_RS00110
NZ_CP053398.1	29616	29786		plus	hypothetical protein			protein-coding			WP_171407010.1	hypothetical protein	56	HL670_RS00115
